CanalID,Nombre,VideoID,Titulo,Fecha,Vistas,Likes,Comentarios,DuracionSeg,URL
UCCKMZAvEMR7IzVKBxyLb9Lg,https://youtube.com/@floydtvonline?si=jUPNtgg266-y5k8q,YOtNLstjUbw,EP 4 - “Líderes 360°: Innovación y Regeneración Empresarial”,2025-07-15,0,1,0,0,https://youtube.com/shorts/YOtNLstjUbw
UC7WpCrWnAh5DoHtMxbrtMnQ,https://youtube.com/@chocotvok?si=2YVCEG5eRz7k7bcY,AqywqxHeLrk,🍔🔥 ¿Cuántas burgers por semana?,2025-07-19,4,0,0,40,https://youtube.com/shorts/AqywqxHeLrk
UC7WpCrWnAh5DoHtMxbrtMnQ,https://youtube.com/@chocotvok?si=2YVCEG5eRz7k7bcY,Y8CCjiyBAlE,Shakira + Sanz = pura historia,2025-05-31,13,1,0,56,https://youtube.com/shorts/Y8CCjiyBAlE
UC7WpCrWnAh5DoHtMxbrtMnQ,https://youtube.com/@chocotvok?si=2YVCEG5eRz7k7bcY,_CJ3VXwQbuE,ANIMAL PRINT: LUNES DE 12.30 A 13.30,2025-05-14,63,0,0,14,https://youtube.com/shorts/_CJ3VXwQbuE
UC7WpCrWnAh5DoHtMxbrtMnQ,https://youtube.com/@chocotvok?si=2YVCEG5eRz7k7bcY,lfUc2wFyPGI,"Si le hizo caso a su mamá, pero no era lo que esperaba…",2024-11-21,415,8,0,21,https://youtube.com/shorts/lfUc2wFyPGI
UC7WpCrWnAh5DoHtMxbrtMnQ,https://youtube.com/@chocotvok?si=2YVCEG5eRz7k7bcY,zBwLlo6uP5M,#AltoPerrov¿La ley nos permite cultivar Marihuana?  #marihuana #cannabis #argentina,2023-10-18,54,0,0,46,https://youtube.com/shorts/zBwLlo6uP5M
UC2Spl5nhZtU_c8w7amfOKqw,https://youtube.com/@gorememedia?si=rYKLiklxHH9n6dee,-yVBeOmdcaE,Consejos de gym #gymmotivation #fitnessmotivation #gym #gimnasio #workout,2025-01-16,10313,1452,16,57,https://youtube.com/shorts/-yVBeOmdcaE
UC2Spl5nhZtU_c8w7amfOKqw,https://youtube.com/@gorememedia?si=rYKLiklxHH9n6dee,Jf3mBVlPmYU,NUEVA PELEA EN PARENSE DE MANOS 🥊 Nacho Vidal vs. Luciano Castro #parensedemanos #coscu #shorts,2024-10-28,8717,378,13,42,https://youtube.com/shorts/Jf3mBVlPmYU
UC2Spl5nhZtU_c8w7amfOKqw,https://youtube.com/@gorememedia?si=rYKLiklxHH9n6dee,ZuxiIZw2lEU,El Bananero en Argentina 🐐 #elbananeroacm1pt #shorts #humor,2024-09-08,2623,139,1,21,https://youtube.com/shorts/ZuxiIZw2lEU
UC2Spl5nhZtU_c8w7amfOKqw,https://youtube.com/@gorememedia?si=rYKLiklxHH9n6dee,szO-DEoLl5A,Cómo es posible??? #clips #videoshort #funny,2024-09-03,538,20,0,27,https://youtube.com/shorts/szO-DEoLl5A
UC2Spl5nhZtU_c8w7amfOKqw,https://youtube.com/@gorememedia?si=rYKLiklxHH9n6dee,9CofQZRVmw4,MINECRAFT y la aldea escolar #minecraft #shorts #minecraftshorts,2024-09-03,389,16,0,51,https://youtube.com/shorts/9CofQZRVmw4
UC2Spl5nhZtU_c8w7amfOKqw,https://youtube.com/@gorememedia?si=rYKLiklxHH9n6dee,BPPjIzv8j6w,Secretos de Disney  #disney #curiosidades #shorts,2024-08-31,1159,50,1,58,https://youtube.com/shorts/BPPjIzv8j6w
UC2Spl5nhZtU_c8w7amfOKqw,https://youtube.com/@gorememedia?si=rYKLiklxHH9n6dee,uCW9K9p5tM4,Caso cerrado es falso? #clips #shorts,2024-07-20,8073,530,4,58,https://youtube.com/shorts/uCW9K9p5tM4
