channel_id,channel_title,month,video_id,video_url,title,published_at,duration_sec,view_count,like_count,comment_count,description,monetizacion,platforms,links,notas
UCC6Y5cYmvlQ_4-J6jOSOK_Q,Pila TV,04-2026,1Swz0hGmji0,https://www.youtube.com/watch?v=1Swz0hGmji0,Especial por la Memoria - Pila TV,2026-03-24T18:44:31Z,19482.0,927,76,6,,No,,,
UCC6Y5cYmvlQ_4-J6jOSOK_Q,Pila TV,04-2026,uuk8GR9bPlY,https://www.youtube.com/watch?v=uuk8GR9bPlY,Que la historia me juzgue - Pila TV - programa 1,2026-03-04T11:24:03Z,6351.0,560,73,9,,No,,,
UCC6Y5cYmvlQ_4-J6jOSOK_Q,Pila TV,04-2026,rohLba_4HPE,https://www.youtube.com/watch?v=rohLba_4HPE,Pasapelota - Pila TV - programa - #1,2026-03-06T11:40:36Z,6843.0,477,38,11,,No,,,
UCC6Y5cYmvlQ_4-J6jOSOK_Q,Pila TV,04-2026,e4xnRM_mSgg,https://www.youtube.com/watch?v=e4xnRM_mSgg,Show Room - Pila TV - Programa #1,2026-03-31T12:55:05Z,6519.0,477,56,4,Primer programa de Show Room. Prendete a Pila TV.,No,,,
UCC6Y5cYmvlQ_4-J6jOSOK_Q,Pila TV,04-2026,WGLQUdeERLs,https://www.youtube.com/watch?v=WGLQUdeERLs,Chequeo Var - Pila TV - programa - #2,2026-03-14T13:28:00Z,6345.0,455,38,2,,No,,,
UCC6Y5cYmvlQ_4-J6jOSOK_Q,Pila TV,04-2026,sUZ96yc6R0A,https://www.youtube.com/watch?v=sUZ96yc6R0A,A ver los del Fondo! - Pila TV,2026-03-04T03:32:09Z,6746.0,433,43,4,,No,,,
UCC6Y5cYmvlQ_4-J6jOSOK_Q,Pila TV,04-2026,q6M7Q-wVlv8,https://www.youtube.com/watch?v=q6M7Q-wVlv8,Chequeo Var - Pila TV - programa - #3,2026-03-19T13:19:41Z,6183.0,379,33,0,,No,,,
UCC6Y5cYmvlQ_4-J6jOSOK_Q,Pila TV,04-2026,FsbA9d-gPWo,https://www.youtube.com/watch?v=FsbA9d-gPWo,Pasapelotas - Pila TV - programa - #3,2026-03-19T23:35:29Z,7793.0,367,25,0,,No,,,
UCC6Y5cYmvlQ_4-J6jOSOK_Q,Pila TV,04-2026,9lC9HO1OFlo,https://www.youtube.com/watch?v=9lC9HO1OFlo,Pasapelota - Pila TV - Programa #4,2026-03-27T11:49:51Z,5618.0,366,32,0,,No,,,
UCC6Y5cYmvlQ_4-J6jOSOK_Q,Pila TV,04-2026,-Kge9IEvSJ0,https://www.youtube.com/watch?v=-Kge9IEvSJ0,Chequeo VAR - Pila TV- Programa 4,2026-03-26T13:18:56Z,5792.0,344,21,1,,No,,,
