channel_id,channel_title,month,video_id,video_url,title,published_at,duration_sec,view_count,like_count,comment_count,description,monetizacion,platforms,links,notas
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,01-2026,AlTZ_LnUd4E,https://www.youtube.com/watch?v=AlTZ_LnUd4E,Ganar plata con un GYM: lo que nadie te dice ⚡🏋️ | Fondo de Comercio By Bardo,2025-12-02T09:24:29Z,4576.0,461,12,7,"En este episodio de Fondo de Comercio By Bardo hablamos con Fernando Andaluz, dueño de Chacras Indoors, uno de los gimnasios más fuertes y reconocidos de la zona.
Desmenuzamos el negocio real del fitness en Argentina: costos, sueldos, mantenimiento, alquileres, turnos, apps, retención de clientes, venta de servicios paralelos y qué cambios tuvo que hacer para sobrevivir en un mercado hipercompetitivo.

Fernando cuenta cómo se diferencia un gimnasio rentable de uno que está por cerrar, qué buscan hoy los clientes, por qué muchos gyms fallan en los primeros dos años y qué decisiones marcaron el crecimiento de Chacras Indoors.

Si te interesa emprender en el mundo del fitness o querés entender cómo funciona un gym por dentro, este episodio te va a servir muchísimo.
Si te gustó, suscribite, comentá y compartilo.

#Bardo #CanalBardo #Mendoza #Argentina #Podcast #Stream #mendozapodcast #FondoDeComercio #Gimnasios #Fitness #ChacrasIndoors #FernandoAndaluz #Negocios #Emprender

Seguinos en:
Instagram - https://www.instagram.com/canalbardo/
TikTok - https://www.tiktok.com/@canalbardo
X - https://x.com/canalbardo
Facebook - https://www.facebook.com/canalbardo/?locale=es_LA

Todas nuestras novedades en: https://canalbardo.com.ar/",No,,"https://www.instagram.com/canalbardo/, https://www.tiktok.com/@canalbardo, https://x.com/canalbardo, https://www.facebook.com/canalbardo/?locale=es_LA, https://canalbardo.com.ar/",
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,01-2026,_bfUjFuf_tc,https://www.youtube.com/watch?v=_bfUjFuf_tc,CEM x BARDO,2025-12-02T07:16:45Z,4006.0,459,17,3,,No,,,
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,01-2026,4vjZ54ESuF8,https://www.youtube.com/watch?v=4vjZ54ESuF8,¿Tu emprendimiento aprueba o desaprueba? 😳🔥 | Canal Barto By Bardo,2025-12-06T08:40:49Z,3591.0,322,11,1,"En este episodio de Canal Barto, El Barto se puso modo auditor sin filtro: calificamos emprendimientos de todos los rubros con humor, criterio real y cero dulzura. Analizamos branding, propuesta de valor, precios, identidad, presencia digital y si realmente tienen potencial… o si están condenados a morir en 3 meses.

Un episodio filoso, útil y muy divertido para cualquiera que tenga un emprendimiento o esté pensando en lanzar uno.
Si te gustó, suscribite, dejá tu emprendimiento en los comentarios y capaz te lo calificamos en la próxima.

#Bardo #CanalBardo #Mendoza #Argentina #Podcast #Stream #mendozapodcast #CanalBarto #Emprender #Emprendimientos #Negocios #Tendencias #Branding",No,,,
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,01-2026,x4vZBupZrxY,https://www.youtube.com/watch?v=x4vZBupZrxY,| 3G By Bardo,2025-12-24T09:24:21Z,4183.0,321,23,0,"Seguinos en:
Instagram - https://www.instagram.com/canalbardo/
TikTok - https://www.tiktok.com/@canalbardo
X - https://x.com/canalbardo
Facebook - https://www.facebook.com/canalbardo/?locale=es_LA

Todas nuestras novedades en: https://canalbardo.com.ar/",No,,"https://www.instagram.com/canalbardo/, https://www.tiktok.com/@canalbardo, https://x.com/canalbardo, https://www.facebook.com/canalbardo/?locale=es_LA, https://canalbardo.com.ar/",
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,01-2026,A1jyk4Wr-jg,https://www.youtube.com/watch?v=A1jyk4Wr-jg,| Canal Barto By Bardo,2025-12-27T08:12:00Z,8889.0,265,11,0,"En este episodio de Canal Barto, El Barto se puso modo auditor sin filtro: calificamos emprendimientos de todos los rubros con humor, criterio real y cero dulzura. Analizamos branding, propuesta de valor, precios, identidad, presencia digital y si realmente tienen potencial… o si están condenados a morir en 3 meses.

Un episodio filoso, útil y muy divertido para cualquiera que tenga un emprendimiento o esté pensando en lanzar uno.
Si te gustó, suscribite, dejá tu emprendimiento en los comentarios y capaz te lo calificamos en la próxima.

#Bardo #CanalBardo #Mendoza #Argentina #Podcast #Stream #mendozapodcast #CanalBarto #Emprender #Emprendimientos #Negocios #Tendencias #Branding",No,,,
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,01-2026,lC5DwGTQJbI,https://www.youtube.com/watch?v=lC5DwGTQJbI,"JUEGOS, gritos y el PESO del martes 😭⚖️ | 3G By Bardo",2025-12-10T09:33:54Z,4003.0,256,9,0,"En este episodio de 3G, el equipo se soltó: juegos, competencia, chicanas y el clásico pesaje del reto de los martes, donde siempre alguno sufre y otro festeja. Un programa caótico, divertido y lleno de esas peleas internas que hacen que 3G sea 3G.

Si te gusta verlos competir, bardearse y tentarse de risa mientras se toman el reto en serio (o no tanto), este episodio te va a encantar.
Si te cebó, suscribite, comentá quién ganó los juegos y quién robó en la balanza 😅

#Bardo #CanalBardo #Mendoza #Argentina #Podcast #Stream #mendozapodcast #3G #Humor #Reto #Pesaje #Juegos #MartesDeReto

Seguinos en:
Instagram - https://www.instagram.com/canalbardo/
TikTok - https://www.tiktok.com/@canalbardo
X - https://x.com/canalbardo
Facebook - https://www.facebook.com/canalbardo/?locale=es_LA

Todas nuestras novedades en: https://canalbardo.com.ar/",No,,"https://www.instagram.com/canalbardo/, https://www.tiktok.com/@canalbardo, https://x.com/canalbardo, https://www.facebook.com/canalbardo/?locale=es_LA, https://canalbardo.com.ar/",
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,01-2026,VV36giTlLY8,https://www.youtube.com/watch?v=VV36giTlLY8,BART Skils en vivo ft. NICO FRID - SE ACABÓ EL AÑO,2025-12-31T09:40:02Z,1113.0,246,27,3,,No,,,
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,01-2026,0dzhesdLijU,https://www.youtube.com/watch?v=0dzhesdLijU,¿Es negocio un kiosco hoy? La verdad SIN FILTRO 🥤💸 | Fondo de Comercio By Bardo,2025-12-10T08:08:10Z,3463.0,245,7,2,"En este episodio de Fondo de Comercio By Bardo nos metemos en un negocio clásico de barrio: el kiosco.
¿Sigue siendo rentable? ¿Qué productos dejan más margen? ¿Qué está pasando con los precios, la inflación y las apps de delivery? ¿Sirve sumar servicios como recargas, pago de facturas o café al paso?

Hablamos de los cambios del rubro, la competencia de los chinos, los nuevos hábitos de consumo, el impacto del dólar en golosinas importadas y por qué muchos kioscos sobreviven… y otros no.

Si estás pensando en abrir un kiosco o simplemente querés entender cómo funciona HOY este fondo de comercio histórico, este episodio es para vos.
Si te sirvió, suscribite, comentá tu experiencia y compartilo.

#Bardo #CanalBardo #Mendoza #Argentina #Podcast #Stream #mendozapodcast #FondoDeComercio #Kioscos #Negocios #Emprender #Golosinas #Retail #ComercioMinorista

Seguinos en:
Instagram - https://www.instagram.com/canalbardo/
TikTok - https://www.tiktok.com/@canalbardo
X - https://x.com/canalbardo
Facebook - https://www.facebook.com/canalbardo/?locale=es_LA

Todas nuestras novedades en: https://canalbardo.com.ar/",No,,"https://www.instagram.com/canalbardo/, https://www.tiktok.com/@canalbardo, https://x.com/canalbardo, https://www.facebook.com/canalbardo/?locale=es_LA, https://canalbardo.com.ar/",
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,01-2026,RNH4-SnQOv0,https://www.youtube.com/watch?v=RNH4-SnQOv0,| Canal Barto By Bardo,2025-12-13T07:51:46Z,5444.0,229,7,0,"En este episodio de Canal Barto, El Barto se puso modo auditor sin filtro: calificamos emprendimientos de todos los rubros con humor, criterio real y cero dulzura. Analizamos branding, propuesta de valor, precios, identidad, presencia digital y si realmente tienen potencial… o si están condenados a morir en 3 meses.

Un episodio filoso, útil y muy divertido para cualquiera que tenga un emprendimiento o esté pensando en lanzar uno.
Si te gustó, suscribite, dejá tu emprendimiento en los comentarios y capaz te lo calificamos en la próxima.

#Bardo #CanalBardo #Mendoza #Argentina #Podcast #Stream #mendozapodcast #CanalBarto #Emprender #Emprendimientos #Negocios #Tendencias #Branding",No,,,
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,01-2026,0LYef4vfNt4,https://www.youtube.com/watch?v=0LYef4vfNt4,PRENDIÓ LA TÍA By Bardo,2025-12-04T10:21:04Z,3865.0,219,15,0,"Seguinos en:
Instagram - https://www.instagram.com/canalbardo/
TikTok - https://www.tiktok.com/@canalbardo
X - https://x.com/canalbardo
Facebook - https://www.facebook.com/canalbardo/?locale=es_LA

Todas nuestras novedades en: https://canalbardo.com.ar/",No,,"https://www.instagram.com/canalbardo/, https://www.tiktok.com/@canalbardo, https://x.com/canalbardo, https://www.facebook.com/canalbardo/?locale=es_LA, https://canalbardo.com.ar/",
