channel_id,channel_title,month,video_id,video_url,title,published_at,duration_sec,view_count,like_count,comment_count,description,monetizacion,platforms,links,notas
UCc8mzxrfokRgbCxQkoTFV-w,Cascote TV,12-2025,JBN3Pv-m2Rw,https://www.youtube.com/watch?v=JBN3Pv-m2Rw,📺SUTEve #16| Sorteamos temporadas de pileta🏊‍♂️Conocemos una escuela de Malargüe 🏫 #Educación #Mza,2025-11-25T23:52:21Z,4244.0,1411,140,14,🙌 SUTEve: el stream de los trabajadores y trabajadoras de la Educación en Mendoza.,No,,,
UCc8mzxrfokRgbCxQkoTFV-w,Cascote TV,12-2025,km8rUw4vBl0,https://www.youtube.com/watch?v=km8rUw4vBl0,📺SUTEve #13| Especial Día del Celador / Comprar de forma segura en internet 👀 #Educación #Mendoza,2025-11-04T23:19:29Z,4280.0,1092,102,3,"Fiesta Día del celador y celadora en WABI 🥳

SORTEAMOS ENTRADAS EN VIVO! Participan quienes estén conectados. 😱🍀

🙌 SUTEve: el stream de los trabajadores y trabajadoras de la Educación en Mendoza.",No,,,
UCc8mzxrfokRgbCxQkoTFV-w,Cascote TV,12-2025,znNxO-vyrLY,https://www.youtube.com/watch?v=znNxO-vyrLY,📺SUTEve #15| Día de la Ed. Técnica 📆 Sorteos por el Día del Celador - 25N y más! #Educación #Mendoza,2025-11-19T11:41:06Z,5600.0,753,60,1,🙌 SUTEve: el stream de los trabajadores y trabajadoras de la Educación en Mendoza.,No,,,
UCc8mzxrfokRgbCxQkoTFV-w,Cascote TV,12-2025,hLxK5Zc9e9o,https://www.youtube.com/watch?v=hLxK5Zc9e9o,📺SUTEve #14| DÍA DE LA TRADICIÓN 🧉 NOS VISITA UN ESTUDIANTE SECUNDARIO Y MÁS! #Educación #Mendoza,2025-11-12T11:23:09Z,4339.0,460,41,0,"1- Nos visita un estudiante secundario, en el medio del debate por la reforma. 🏫

2-Día de la Tradición 🧉José Hermández y el Martín Fierro  
👉Info importante para las clases. 

3- Todo sobre el INGRESO en INICIAL, PRIMARIA y ED. ESPECIAL 📄

🙌 SUTEve: el stream de los trabajadores y trabajadoras de la Educación en Mendoza.

-El estudiante que participa del programa lo hace con la correspondiente autorización de sus responsables legales-",No,,,
UCc8mzxrfokRgbCxQkoTFV-w,Cascote TV,12-2025,qulTeKDBZmY,https://www.youtube.com/watch?v=qulTeKDBZmY,#FRESKO - Encuentro #22 |,2025-11-13T12:54:46Z,7628.0,192,8,0,"🍿PRENDEMOS MIÉRC | 19HS

‼️Nada tiene sentido,igual lo hacemos 

🫵🏼EY! VOS! También podes darte una vuelta por:
Instagram: @fresko.stream | @fresko.producciones 
TikTok: @freskostream

🌹PLAYLIST FRESKA | https://open.spotify.com/playlist/19zvsNr9K0p2ewAAe7r0zn?si=b6675f532e7c447b 

🤝🏻 SUSCRIBITE:
https://www.youtube.com/@UCc8mzxrfokRgbCxQkoTFV-w 

🎤 CONDUCE | / https://www.instagram.com/gonza_osman/
🎤 CONDUCE | / https://www.instagram.com/venusentauroo_/
🎤 CONDUCE | / https://www.instagram.com/_maleml/
🎤 CONDUCE | / https://www.instagram.com/aluhe.ik/
⚙️ PRODUCE | / https://www.instagram.com/santipettit/ 
🕹️ OPERA | / https://www.instagram.com/olifanteh/
🤳🏻 REDES | / https://www.instagram.com/izhs89/ 

📲 SEGUÍ A FRESKO Y CASCOTE EN LAS REDES:
INSTAGRAM | / https://www.instagram.com/fresko.stream/ 
INSTAGRAM | / https://www.instagram.com/cascotetv/ 
PLAYLIST FRESKA | https://open.spotify.com/playlist/19zvsNr9K0p2ewAAe7r0zn?si=b6675f532e7c447b",No,,"https://open.spotify.com/playlist/19zvsNr9K0p2ewAAe7r0zn?si=b6675f532e7c447b, https://www.youtube.com/@UCc8mzxrfokRgbCxQkoTFV-w, https://www.instagram.com/gonza_osman/, https://www.instagram.com/venusentauroo_/, https://www.instagram.com/_maleml/, https://www.instagram.com/aluhe.ik/, https://www.instagram.com/santipettit/, https://www.instagram.com/olifanteh/, https://www.instagram.com/izhs89/, https://www.instagram.com/fresko.stream/, https://www.instagram.com/cascotetv/, https://open.spotify.com/playlist/19zvsNr9K0p2ewAAe7r0zn?si=b6675f532e7c447b",
UCc8mzxrfokRgbCxQkoTFV-w,Cascote TV,12-2025,v7kYBHdydoY,https://www.youtube.com/watch?v=v7kYBHdydoY,#Freskoncho - 🍦EL CROSSOVER FRESKO Y CACHONDO QUE NADIE PIDIÓ 🫦,2025-11-20T10:58:08Z,7907.0,161,11,0,"🎙️Por única vez el crossover que NADIE pidió.

🤝🏻 SUSCRIBITE:
https://www.youtube.com/@UCqr6Ylag14bq_EHLir0nFBw 

🎤 CONDUCE | / https://www.instagram.com/rominacano/
🎤 CONDUCE | / https://www.instagram.com/mili.canda/
🎤 CONDUCE | / https://www.instagram.com/negrita_euge/
🎤 CONDUCE | / https://www.instagram.com/gonza_osman/
🎤 CONDUCE | / https://www.instagram.com/carlibaieli_/
🎤 CONDUCE | / https://www.instagram.com/aluhe.ik/
🎤 CONDUCE | https://www.instagram.com/_maleml/
⚙️ PRODUCE | / https://www.instagram.com/cuqui.loza/
⚙️ PRODUCE | / https://www.instagram.com/santipettit/
🕹️ OPERA | / https://www.instagram.com/agusgorez/

📲 SEGUÍNOS EN REDES:
INSTAGRAM | / https://www.instagram.com/mananas_cachondas/
INSTAGRAM | https://www.instagram.com/fresko.stream/
INSTAGRAM | / https://www.instagram.com/cascotetv/
FACEBOOK | / https://www.facebook.com/profile.php?id=61576308982728
X | https://x.com/CascoteTV",No,,"https://www.youtube.com/@UCqr6Ylag14bq_EHLir0nFBw, https://www.instagram.com/rominacano/, https://www.instagram.com/mili.canda/, https://www.instagram.com/negrita_euge/, https://www.instagram.com/gonza_osman/, https://www.instagram.com/carlibaieli_/, https://www.instagram.com/aluhe.ik/, https://www.instagram.com/_maleml/, https://www.instagram.com/cuqui.loza/, https://www.instagram.com/santipettit/, https://www.instagram.com/agusgorez/, https://www.instagram.com/mananas_cachondas/, https://www.instagram.com/fresko.stream/, https://www.instagram.com/cascotetv/, https://www.facebook.com/profile.php?id=61576308982728, https://x.com/CascoteTV",
UCc8mzxrfokRgbCxQkoTFV-w,Cascote TV,12-2025,Zs4FFOVP0gg,https://www.youtube.com/watch?v=Zs4FFOVP0gg,#FRESKO - Encuentro #23 |,2025-11-27T12:23:25Z,7361.0,116,7,1,"🍿PRENDEMOS MIÉRC | 19HS

‼️Nada tiene sentido,igual lo hacemos 

🫵🏼EY! VOS! También podes darte una vuelta por:
Instagram: @fresko.stream | @fresko.producciones 
TikTok: @freskostream

🌹PLAYLIST FRESKA | https://open.spotify.com/playlist/19zvsNr9K0p2ewAAe7r0zn?si=b6675f532e7c447b 

🤝🏻 SUSCRIBITE:
https://www.youtube.com/@UCc8mzxrfokRgbCxQkoTFV-w 

🎤 CONDUCE | / https://www.instagram.com/gonza_osman/
🎤 CONDUCE | / https://www.instagram.com/venusentauroo_/
🎤 CONDUCE | / https://www.instagram.com/_maleml/
🎤 CONDUCE | / https://www.instagram.com/aluhe.ik/
⚙️ PRODUCE | / https://www.instagram.com/santipettit/ 
🕹️ OPERA | / https://www.instagram.com/olifanteh/
🤳🏻 REDES | / https://www.instagram.com/izhs89/ 

📲 SEGUÍ A FRESKO Y CASCOTE EN LAS REDES:
INSTAGRAM | / https://www.instagram.com/fresko.stream/ 
INSTAGRAM | / https://www.instagram.com/cascotetv/ 
PLAYLIST FRESKA | https://open.spotify.com/playlist/19zvsNr9K0p2ewAAe7r0zn?si=b6675f532e7c447b",No,,"https://open.spotify.com/playlist/19zvsNr9K0p2ewAAe7r0zn?si=b6675f532e7c447b, https://www.youtube.com/@UCc8mzxrfokRgbCxQkoTFV-w, https://www.instagram.com/gonza_osman/, https://www.instagram.com/venusentauroo_/, https://www.instagram.com/_maleml/, https://www.instagram.com/aluhe.ik/, https://www.instagram.com/santipettit/, https://www.instagram.com/olifanteh/, https://www.instagram.com/izhs89/, https://www.instagram.com/fresko.stream/, https://www.instagram.com/cascotetv/, https://open.spotify.com/playlist/19zvsNr9K0p2ewAAe7r0zn?si=b6675f532e7c447b",
UCc8mzxrfokRgbCxQkoTFV-w,Cascote TV,12-2025,wj36pIqIT8I,https://www.youtube.com/watch?v=wj36pIqIT8I,#FRESKO - Encuentro #21 |,2025-11-06T12:23:17Z,7200.0,95,6,0,"🍿PRENDEMOS MIÉRC | 19HS

‼️Nada tiene sentido,igual lo hacemos 

🫵🏼EY! VOS! También podes darte una vuelta por:
Instagram: @fresko.stream | @fresko.producciones 
TikTok: @freskostream

🌹PLAYLIST FRESKA | https://open.spotify.com/playlist/19zvsNr9K0p2ewAAe7r0zn?si=b6675f532e7c447b 

🤝🏻 SUSCRIBITE:
https://www.youtube.com/@UCc8mzxrfokRgbCxQkoTFV-w 

🎤 CONDUCE | / https://www.instagram.com/gonza_osman/
🎤 CONDUCE | / https://www.instagram.com/venusentauroo_/
🎤 CONDUCE | / https://www.instagram.com/_maleml/
🎤 CONDUCE | / https://www.instagram.com/aluhe.ik/
⚙️ PRODUCE | / https://www.instagram.com/santipettit/ 
🕹️ OPERA | / https://www.instagram.com/olifanteh/
🤳🏻 REDES | / https://www.instagram.com/izhs89/ 

📲 SEGUÍ A FRESKO Y CASCOTE EN LAS REDES:
INSTAGRAM | / https://www.instagram.com/fresko.stream/ 
INSTAGRAM | / https://www.instagram.com/cascotetv/ 
PLAYLIST FRESKA | https://open.spotify.com/playlist/19zvsNr9K0p2ewAAe7r0zn?si=b6675f532e7c447b",No,,"https://open.spotify.com/playlist/19zvsNr9K0p2ewAAe7r0zn?si=b6675f532e7c447b, https://www.youtube.com/@UCc8mzxrfokRgbCxQkoTFV-w, https://www.instagram.com/gonza_osman/, https://www.instagram.com/venusentauroo_/, https://www.instagram.com/_maleml/, https://www.instagram.com/aluhe.ik/, https://www.instagram.com/santipettit/, https://www.instagram.com/olifanteh/, https://www.instagram.com/izhs89/, https://www.instagram.com/fresko.stream/, https://www.instagram.com/cascotetv/, https://open.spotify.com/playlist/19zvsNr9K0p2ewAAe7r0zn?si=b6675f532e7c447b",
UCc8mzxrfokRgbCxQkoTFV-w,Cascote TV,12-2025,aPMomsOW3nc,https://www.youtube.com/watch?v=aPMomsOW3nc,#ElBunker - 10/11,2025-11-11T12:15:49Z,7309.0,15,0,0,"🎙️Búnker con el Pigu, la Gina y la Anita. Lunes de 19 a 21.

🤝🏻 SUSCRIBITE:
https://www.youtube.com/ ⁨@elbunkermza⁩  

🎤 CONDUCE | / https://www.instagram.com/pigusanz/
🎤 CONDUCE | / https://www.instagram.com/gina.luco/
🎤 CONDUCE | / https://www.instagram.com/analuz_dl/
⚙️ PRODUCE | / https://www.instagram.com/gonza_osman/
⚙️ PRODUCE | / https://www.instagram.com/venusentauroo_/
⚙️ PRODUCE | / https://www.instagram.com/salamoneagustin/
🕹️ OPERA | / https://www.instagram.com/agusgorez/

📲 SEGUÍ AL BUNKER Y CASCOTE EN LAS REDES:
INSTAGRAM | / https://www.instagram.com/elbunkermza/
TIKTOK | / https://www.tiktok.com/@elbunkermza
X | https://x.com/elbunkermza
INSTAGRAM | / https://www.instagram.com/cascotetv/
FACEBOOK | / https://www.facebook.com/profile.php?id=61576308982728",No,,"https://www.youtube.com/, https://www.instagram.com/pigusanz/, https://www.instagram.com/gina.luco/, https://www.instagram.com/analuz_dl/, https://www.instagram.com/gonza_osman/, https://www.instagram.com/venusentauroo_/, https://www.instagram.com/salamoneagustin/, https://www.instagram.com/agusgorez/, https://www.instagram.com/elbunkermza/, https://www.tiktok.com/@elbunkermza, https://x.com/elbunkermza, https://www.instagram.com/cascotetv/, https://www.facebook.com/profile.php?id=61576308982728",
UCc8mzxrfokRgbCxQkoTFV-w,Cascote TV,12-2025,79JPceq7Ggs,https://www.youtube.com/watch?v=79JPceq7Ggs,#ElBunker - 3/11,2025-11-04T12:16:32Z,7427.0,13,1,0,"🎙️Búnker con el Pigu, la Gina y la Anita. Lunes de 19 a 21.

🤝🏻 SUSCRIBITE:
https://www.youtube.com/ ⁨@elbunkermza⁩  

🎤 CONDUCE | / https://www.instagram.com/pigusanz/
🎤 CONDUCE | / https://www.instagram.com/gina.luco/
🎤 CONDUCE | / https://www.instagram.com/analuz_dl/
⚙️ PRODUCE | / https://www.instagram.com/gonza_osman/
⚙️ PRODUCE | / https://www.instagram.com/venusentauroo_/
⚙️ PRODUCE | / https://www.instagram.com/salamoneagustin/
🕹️ OPERA | / https://www.instagram.com/agusgorez/

📲 SEGUÍ AL BUNKER Y CASCOTE EN LAS REDES:
INSTAGRAM | / https://www.instagram.com/elbunkermza/
TIKTOK | / https://www.tiktok.com/@elbunkermza
X | https://x.com/elbunkermza
INSTAGRAM | / https://www.instagram.com/cascotetv/
FACEBOOK | / https://www.facebook.com/profile.php?id=61576308982728",No,,"https://www.youtube.com/, https://www.instagram.com/pigusanz/, https://www.instagram.com/gina.luco/, https://www.instagram.com/analuz_dl/, https://www.instagram.com/gonza_osman/, https://www.instagram.com/venusentauroo_/, https://www.instagram.com/salamoneagustin/, https://www.instagram.com/agusgorez/, https://www.instagram.com/elbunkermza/, https://www.tiktok.com/@elbunkermza, https://x.com/elbunkermza, https://www.instagram.com/cascotetv/, https://www.facebook.com/profile.php?id=61576308982728",
