channel_id,channel_title,month,video_id,video_url,title,published_at,duration_sec,view_count,like_count,comment_count,description,monetizacion,platforms,links,notas
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,hQurK5PQA94,https://www.youtube.com/watch?v=hQurK5PQA94,CORREDORES INMOBILIARIOS,2025-11-04T07:24:17Z,4125.0,258,18,1,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,IqwpysDu-Lo,https://www.youtube.com/watch?v=IqwpysDu-Lo,EP# 19  - AL ROJO VIVO,2025-11-11T11:09:45Z,3759.0,1293,14,1,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,CzU2frDIIg0,https://www.youtube.com/watch?v=CzU2frDIIg0,ESTUVE CON TU MAMÁ - NO ME CANCELEN,2025-11-20T11:10:42Z,3568.0,345,15,2,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,0Eq8fcYUzfs,https://www.youtube.com/watch?v=0Eq8fcYUzfs,ALMA TURISTA,2025-11-04T09:31:22Z,4801.0,110,4,1,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,HKUEAPdNivE,https://www.youtube.com/watch?v=HKUEAPdNivE,ALMA TURISTA,2025-11-25T09:16:09Z,4337.0,234,12,0,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,_OQHOIxXauM,https://www.youtube.com/watch?v=_OQHOIxXauM,NAI - NOTICIAS AL INSTANTE,2025-11-04T05:11:20Z,3929.0,52,7,1,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,DBckGzQIj7M,https://www.youtube.com/watch?v=DBckGzQIj7M,PENSAR EN GRANDE- DEL AÑO QUE FUE AL QUE QUEREMOS - CLUB DEL MANAGER,2025-11-11T09:12:57Z,3877.0,78,11,1,#ClubDelManager #LiderazgoRegenerativo #InnovaciónSostenible #VanguardiaEnAcción,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,-dvoWu6C6xA,https://www.youtube.com/watch?v=-dvoWu6C6xA,SI SUCEDE CONVIENE,2025-11-13T07:41:25Z,3922.0,81,7,0,"💡 Dinámicas, preguntas al aire y reflexiones poderosas.
🎧 Escuchanos, compartilo, vivilo.",No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,eRm1TPzttb4,https://www.youtube.com/watch?v=eRm1TPzttb4,EP# 18  - AL ROJO VIVO,2025-11-04T11:23:46Z,4320.0,1824,13,0,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,AQ1oiwBUsXw,https://www.youtube.com/watch?v=AQ1oiwBUsXw,LOS ARGENTINOS MÁS ODIADOS -  SIMIOS,2025-11-19T11:07:58Z,3684.0,340,22,2,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,CEGg4n83GVQ,https://www.youtube.com/watch?v=CEGg4n83GVQ,CORREDORES INMOBILIARIOS,2025-11-25T07:15:07Z,4188.0,360,15,1,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,2GNNCUNOCO8,https://www.youtube.com/watch?v=2GNNCUNOCO8,FORMULA TV,2025-11-07T12:45:05Z,3368.0,136,5,0,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,cBwSflGmbK0,https://www.youtube.com/watch?v=cBwSflGmbK0,TRES SIMIOS,2025-11-26T11:07:37Z,3687.0,213,23,0,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,cSFAw-DwTOM,https://www.youtube.com/watch?v=cSFAw-DwTOM,EPISODIO #30  TODO BAJO CONTROL,2025-10-31T11:13:40Z,4041.0,182,19,0,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,8hGzajumqzc,https://www.youtube.com/watch?v=8hGzajumqzc,NAI - NOTICIAS AL INSTANTE,2025-11-11T05:12:01Z,3707.0,126,8,0,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,MNsE8hw0jio,https://www.youtube.com/watch?v=MNsE8hw0jio,SI SUCEDE CONVIENE,2025-11-27T07:38:54Z,3904.0,61,8,0,"💡 Dinámicas, preguntas al aire y reflexiones poderosas.
🎧 Escuchanos, compartilo, vivilo.",No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,OCJg0UNJzbg,https://www.youtube.com/watch?v=OCJg0UNJzbg,A BAILARLA,2025-11-28T09:09:28Z,3819.0,813,50,8,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,9issaVOn8i4,https://www.youtube.com/watch?v=9issaVOn8i4,FORMULA TV,2025-11-19T13:31:43Z,3973.0,198,5,1,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,w3gjDQTJMZQ,https://www.youtube.com/watch?v=w3gjDQTJMZQ,SÁNDWICHES EXÓTICOS - FLOJO DE PAPELES,2025-11-05T06:43:17Z,5592.0,191,13,1,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,7rOMuf1YRjk,https://www.youtube.com/watch?v=7rOMuf1YRjk,FORMULA TV,2025-11-29T03:44:05Z,4218.0,91,3,0,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,TQxzb0_Woz8,https://www.youtube.com/watch?v=TQxzb0_Woz8,EPISODIO #31  TODO BAJO CONTROL,2025-11-07T11:09:31Z,3811.0,206,21,3,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,aPgnbQ4wzPo,https://www.youtube.com/watch?v=aPgnbQ4wzPo,EPISODIO #34  TODO BAJO CONTROL,2025-11-28T11:10:06Z,3701.0,94,8,0,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,CaKgLyQiPx8,https://www.youtube.com/watch?v=CaKgLyQiPx8,TU CONSULTORIO  LEGAL,2025-11-27T09:36:55Z,2003.0,30,1,0,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,_WUfVdNJIAk,https://www.youtube.com/watch?v=_WUfVdNJIAk,CERIONI SALUD,2025-11-28T03:06:14Z,3596.0,247,24,0,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,mfIoz0JEAAQ,https://www.youtube.com/watch?v=mfIoz0JEAAQ,FLOJO DE PAPELES,2025-11-28T06:44:26Z,6052.0,108,9,0,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,8kkID_wNd-E,https://www.youtube.com/watch?v=8kkID_wNd-E,QUE PIENSAN LOS NIÑOS - FLOJO DE PAPELES,2025-11-21T06:43:17Z,5727.0,315,15,0,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,gzG4GB3x_0U,https://www.youtube.com/watch?v=gzG4GB3x_0U,SI SUCEDE CONVIENE,2025-11-20T07:41:42Z,4023.0,63,8,0,"💡 Dinámicas, preguntas al aire y reflexiones poderosas.
🎧 Escuchanos, compartilo, vivilo.",No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,g9-6QJQWeUg,https://www.youtube.com/watch?v=g9-6QJQWeUg,AOSS STREAM,2025-11-27T06:04:52Z,3638.0,258,17,0,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,LOTZEh8THHk,https://www.youtube.com/watch?v=LOTZEh8THHk,TEAM WANDA O CHINA - FLOJO DE PAPELES,2025-11-19T06:50:16Z,6045.0,114,9,0,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,pExUINziGHA,https://www.youtube.com/watch?v=pExUINziGHA,NO ME CANCELEN,2025-11-26T23:08:40Z,3579.0,105,3,0,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,rNqCy8oD_VM,https://www.youtube.com/watch?v=rNqCy8oD_VM,COMPUSIMOS UNA CANCIÓN - NO ME CANCELEN,2025-11-05T23:18:59Z,3935.0,107,6,0,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,8Kk6ky1Q0ow,https://www.youtube.com/watch?v=8Kk6ky1Q0ow,FORMULA TV,2025-11-26T12:44:07Z,3987.0,124,4,0,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,0mfZXBmkxBA,https://www.youtube.com/watch?v=0mfZXBmkxBA,NOS VISITA DAVID EL MAGO RAMÍREZ - PREDICCIONES DEL SÚPER CLÁSICO - TRES SIMIOS,2025-11-05T11:10:41Z,3631.0,234,25,0,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,7mIyskomUJA,https://www.youtube.com/watch?v=7mIyskomUJA,BENJA EL PERRO QUE ES MAS HUMANO - FLOJO DE PAPELES,2025-11-14T06:48:32Z,5898.0,269,7,0,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,vY5nEZHYvXk,https://www.youtube.com/watch?v=vY5nEZHYvXk,FORMULA TV,2025-11-12T12:58:08Z,4377.0,227,6,0,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,CpnMgZv4eF8,https://www.youtube.com/watch?v=CpnMgZv4eF8,DIVORCIOS Y SUS EFECTOS CON CECILIA HOM - TU CONSULTORIO  LEGAL,2025-11-06T09:50:27Z,2007.0,34,3,0,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,bf5YySaMdHE,https://www.youtube.com/watch?v=bf5YySaMdHE,MANSA PEÑA  - FLOJO DE PAPELES,2025-11-12T07:04:34Z,6059.0,1618,38,2,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,McUQ-qyW0Qg,https://www.youtube.com/watch?v=McUQ-qyW0Qg,NO ME CANCELEN,2025-11-12T23:09:10Z,3432.0,184,6,1,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,ZQ-5mhi1b_Y,https://www.youtube.com/watch?v=ZQ-5mhi1b_Y,EP# 21  - AL ROJO VIVO MANO A MANO,2025-11-25T21:13:04Z,4049.0,53,0,0,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,QSTR5iW6Qsc,https://www.youtube.com/watch?v=QSTR5iW6Qsc,NAI - NOTICIAS AL INSTANTE,2025-11-18T05:28:36Z,4831.0,67,11,0,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,hEozL1SnLqc,https://www.youtube.com/watch?v=hEozL1SnLqc,A BAILARLA,2025-11-14T09:14:03Z,4036.0,534,42,8,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,LyQntREnctQ,https://www.youtube.com/watch?v=LyQntREnctQ,NAI - NOTICIAS AL INSTANTE,2025-11-26T04:14:12Z,3783.0,42,7,0,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,m4gBq-YdBTA,https://www.youtube.com/watch?v=m4gBq-YdBTA,DOBLE O NADA,2025-11-13T12:24:01Z,3264.0,1336,19,1,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,nasi8P0KEok,https://www.youtube.com/watch?v=nasi8P0KEok,EL HINCHA MÁS PICANTE RAMIRO CONTI - TRES SIMIOS,2025-11-12T11:08:00Z,3652.0,480,29,3,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,9P04rQHdfCE,https://www.youtube.com/watch?v=9P04rQHdfCE,"TEXAS, COUNTRY Y FLOJO DE PAPELES",2025-11-06T18:48:40Z,5144.0,347,22,2,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,VWk5_HF8obM,https://www.youtube.com/watch?v=VWk5_HF8obM,SI SUCEDE CONVIENE,2025-11-06T07:47:58Z,3866.0,70,16,0,"💡 Dinámicas, preguntas al aire y reflexiones poderosas.
🎧 Escuchanos, compartilo, vivilo.",No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,hoY-1PtKvH4,https://www.youtube.com/watch?v=hoY-1PtKvH4,EPISODIO #33  TODO BAJO CONTROL,2025-11-21T11:25:39Z,3656.0,140,107,0,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,-3VgT98TZ7I,https://www.youtube.com/watch?v=-3VgT98TZ7I,TARDE DE SPA Y COMPETENCIA - A BAILARLA,2025-11-21T09:10:09Z,3987.0,754,66,5,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,ohNdnx0sdDI,https://www.youtube.com/watch?v=ohNdnx0sdDI,FLOJO DE PAPELES,2025-11-26T06:46:45Z,5844.0,212,11,0,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,cvViWGsN1uw,https://www.youtube.com/watch?v=cvViWGsN1uw,EP#20  - AL ROJO VIVO MANO A MANO CON FLAVIO KRISTICH,2025-11-12T09:09:43Z,3698.0,74,2,0,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,Q7sAsfeYtWM,https://www.youtube.com/watch?v=Q7sAsfeYtWM,TU CONSULTORIO  LEGAL,2025-11-13T09:38:49Z,1970.0,152,5,0,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,w0XeewgXwEQ,https://www.youtube.com/watch?v=w0XeewgXwEQ,DESARROLLOS URBANOS Y ADMINISTRACIÓN DE CONSORCIOS - TU CONSULTORIO  LEGAL,2025-11-20T09:38:49Z,2047.0,147,6,0,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,P3mBd0m71T8,https://www.youtube.com/watch?v=P3mBd0m71T8,DOBLE O NADA,2025-11-27T00:23:07Z,3518.0,1114,11,0,,No,,,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,12-2025,WcRHewAjz-Q,https://www.youtube.com/watch?v=WcRHewAjz-Q,TARDE DE CHICAS - DOBLE O NADA,2025-11-20T00:26:26Z,3714.0,1128,12,1,,No,,,
