channel_id,channel_title,month,video_id,video_url,title,published_at,duration_sec,view_count,like_count,comment_count,description,monetizacion,platforms,links,notas
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,09-2025,wDQ7QrURtVo,https://www.youtube.com/watch?v=wDQ7QrURtVo,Aniversario Serebross TV,2025-08-15T04:08:18Z,20871.0,1486,41,0,"🎉 ¡SEREBROSS TV CUMPLE SU PRIMER AÑO! 🎉
Únete a esta transmisión especial en vivo desde CHAPA y celebrá con nosotros el primer aniversario de nuestro canal💥

🖌️ Body Paint en vivo a un modelo masculino con la participación del público
🎂 Torta personalizada hecha en vivo durante el show
🎭 Performances en vivo de artistas destacados
🤹‍♂️ Personajes típicos de San Rafael que te van a sorprender
🍸 Tragos de autor exclusivos preparados por bartenders invitados
🌟 Invitados de lujo y muchas sorpresas más...

✨ Una noche llena de arte, color, creatividad y buena vibra. ¡No te lo podés perder!
💬 Interactuá en el chat en vivo, dejá tus saludos y participá de esta fiesta con toda la comunidad de #SerebrossTV

📅 Fecha: 14 de agosto
🕘 Hora: 19 a 01 hs.
📍 En vivo desde San Rafael, Mendoza - Argentina

🔔 Suscribite, activá la campanita y acompañanos en esta experiencia única!

🔗 Seguinos en redes:
Instagram: @serebrosstv
Facebook: Serebross TV
TikTok: @serebrosstv

#SerebrossTV #EnVivo #AniversarioSerebross #BodyPaint #TransmisiónEspecial #SanRafael #ArteEnVivo #TragosDeAutor #PerformanceArt #EventoEnVivo #StreamingLatino #CanalDeArte #FiestaStreaming",No,,,
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,09-2025,X5OuK0_jIas,https://www.youtube.com/watch?v=X5OuK0_jIas,Jueves en Serebross TV | Indice Rural & No Jugamos a Nada,2025-08-08T11:16:33Z,9090.0,649,13,0,"ÍNDICE RURAL
Programa #28- Temporada 16

La actualidad de la agricultura y la ganadería de Mendoza está acá.

🐂 Se está llevando a cabo un plan en toda la provincia para frenar con los abigeatos. Para conocer detalles del mismo, invitamos al jefe de la Policía Rural, Adrián Ríos 

🌾 Se viene un nuevo intercambio de semillas e integrantes de Crece desde el Pie nos cuentan como participar 

⛰ Se trabaja en la conexión con Chile. Carlos Ponce, vicepresidente de CECIM nos cuenta los detalles de las reuniones

🔥 Los incendios forestales siempre son un inconveniente. Diego Martí, coordinador del Plan Provincial del Manejo del Fuego nos cuenta como prevenirlos.

#semillas #intercambio #IncendiosForestales #fuego #PPMF #bomberos #chile #cecim #PasosBinacionales #abigeato #faena #clandestinidad #carne #vacas #bobino


🎙 NO JUGAMOS A NADA #66

¡Nuevo episodio con toda la información del ámbito local!
⚽Iniciamos la tarde con una videollamada imperdible con Rodrigo Mansur quien estuvo en el Selectivo de San Rafael que jugó en el Predio Lionel Andrés Messi ubicado en Ezeiza contra la Selección Argentina Sub 20 del Ascenso.
🤾Estará en el piso Diego Castañeda entrenador campeón con el San Rafael Tenis Club en damas y Lomoro en caballeros. Lo acompañarán las jugadoras Florencia Cid, Marianela Mañas, Delfina Muller y Marcelo Dolsemascolo.
🏃🏻‍♂Hablaremos con el profesor Florentino Correas  para hablar del Día del Maratonista argentino.
Para cerrar palpitaremos lo que será una nueva fecha del fútbol sanrafaelino que se jugará el prñoximo fin de semana

¡Un programa para no perderse ni un segundo!

👉 Dale like, comentá y suscribite al canal.

#DeporteLocal #Futbolsanrafaelino #balonmano #TenisClub #Lomoro #NoJugamosANada #SerebrossTV",No,,,
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,09-2025,jye_zPLo7mI,https://www.youtube.com/watch?v=jye_zPLo7mI,NO JUGAMOS A NADA #65 - Patinaje | Tenís de Mesa | Fútbol,2025-08-06T17:16:01Z,7576.0,604,12,1,"NO JUGAMOS A NADA #65

Comenzamos con la visita de las patinadoras locales Catalina Escudero, Ana Ponce, Martina Antolín Olguín, y Constanza Peral Vega que viene de destacarse a nivel nacional
Giuliana Pérez estará hablando de lo que será su participación en el Panamericano Juvenil de tenis de mesa con el plantel de la Federación Argentina.
Para el cierre, Alfio Lorenzo actual jugador de Pedal que logró el bicampeonato de nuestro fútbol y Horacio Marcial junto a Emanuel Cardozo campeones del Torneo Apertura 2025 de la Primera B.

#DeportesEnStreaming #TenisDeMesa #FútbolEnVivo #PatinajeArtístico #DeportesEnLinea #StreamingDeportes #TenisDeMesaEnDirecto #FútbolAmateur #PatinajeCreativo #DeportesDiversos #DeportesParaTodos #StreamingDeportivo #TenisDeMesaFan #FútbolGlobal #PatinajeEnMovimiento #mendoza #streaming #argentina #streammendoza #streamers",No,,,
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,09-2025,LbKKCy5UDk8,https://www.youtube.com/watch?v=LbKKCy5UDk8,NO JUGAMOS A NADA #67 - | ESGRIMA | KINESIOLOGÍA | FÚTBOL,2025-08-13T13:20:28Z,7474.0,572,10,0,"🎙 NO JUGAMOS A NADA #677 

¡Nuevo episodio con toda la información del ámbito local!
🤺Iniciamos con la visita de Olivia Muñoz, Gemma Ciardullo y Nihuel Guerra Gutiérrez de esgrima que se preparan para el Campeonato Sudamericano de Perú.
🏃🏻‍♂Continuaremos con el kinesiólogo deportivo Juan Crespo que se encuentra viviendo en nuestra ciudad y un proyecto ambicioso para el crecimiento del área de la salud en el fútbol sanrafaelino.
⚽César Francisco Bernués histórico dirigente de San Martín de Monte Común y actual presidente de la institución estará con nosotros dialogando sobre diversos temas.
👉 Dale like, comentá y suscribite al canal.
#Esgrima #kinesiologo #JuanCrespo #CesarBernues #MonteComan #SanMartindeMonteComan #NoJugamosANada #SerebrossTV

🎬 ESGRIMA-JUAN CRESPO KINESIÓLOGO- CÉSAR BERNUÉS SAN MARTÍN DE MONTE COMÁN-
• Esgrimistas sanrafaelinos dirán presentes en el Sudamericano de Perú| Capítulo 67
• Juan Crespo kinesiólogo radicado en nuestra ciudad abocado al deporte en general| Capítulo 67
•           Presente, futuro y proyectos para San Martín de Monte Comán con la palabra de César Bernués| Capítulo 67",No,,,
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,09-2025,xXM0cYkRca8,https://www.youtube.com/watch?v=xXM0cYkRca8,Jueves en Serebross TV | Indice Rural & No Jugamos a Nada,2025-08-01T11:34:52Z,10077.0,462,15,0,"Indice Rural

La actualidad agropecuaria y ganadera de Mendoza la encontrás acá
#agro #ganaderia #agropecuario #tv #streaming 

No jugamos a nada #64

Nos visita el árbitro internacional Andrés Merlos, que dirige en la Primera División del fútbol argentino y es el actual presidente de la Liga Alvearense de Fútbol.
#futbol #liga #sanrafael #mendoza #alvear #argentina",No,,,
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,09-2025,ELsuq5sqFPA,https://www.youtube.com/watch?v=ELsuq5sqFPA,NO JUGAMOS A NADA #70 | MARATÓN | FÚTBOL,2025-08-27T21:05:34Z,7441.0,339,8,0,"🎙 NO JUGAMOS A NADA #70


¡Nuevo episodio con toda la información del ámbito local!

🏃🏻‍♂Iniciamos el programa con la visita del destacado atleta de nuestro departamento Denis Álvarez, que hablará de su presente y palpitará lo que será la 11º edición de la Maratón Ciudad de San Rafael, organizada por UTN-Deportes

⚽ El segundo invitado de la jornada será el actual director técnico del Club Huracán, Alejandro Granollers, que afronta su segundo ciclo en la institución.

👉 Dale like, comentá y suscribite al canal.

#MaratonSanRafael #Maraton #DenisAlvarez #FutbolSanRafael #AlejandroGranollers #Huracan #NoJugamosANada #SerebrossTV",No,,,
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,09-2025,VSVYa1d_dj8,https://www.youtube.com/watch?v=VSVYa1d_dj8,NO JUGAMOS A NADA #68 | Hockey | Fútbol | Trail Running,2025-08-20T13:12:39Z,7126.0,270,7,1,"🎙 NO JUGAMOS A NADA #685 

¡Nuevo episodio con toda la información del ámbito local!

• San Rafael será escenario del Argentino de Selecciones Sub 16 “D” de damas| 
• Agustín Velga entrenador en el fútbol sanrafaelino| 
•       Martín Sabio viene de ganaruna de las fechas del circuito nacional XK Race en Tucumán |

Tendremos la presencia del entrenador Sebastián Villegas, además de las jugadoras Martina Gaitán, Catalina Cabral y Valentina Camacho, San Rafael será sede del Torneo Argentino de Selecciones Sub 16 “D” de damas. 

⚽Continuaremos con la presencia de Agustín Vela que hablará de su salida de El Porvenir y su primera experiencia en la máxima categoría de nuestro fútbol.
Cerraremos con la presencia de Martín Sabio deportista sanrafaelino que se desempeña en carreras de aventuras y expedición, además de trail running

👉 Dale like, comentá y suscribite al canal.

#Hockey #ArgentinodeSelecciones #AgustinVela #Futbolsanrafaelino #MartinSabio #NoJugamosANada #SerebrossTV",No,,,
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,09-2025,KtgIG_kTeSM,https://www.youtube.com/watch?v=KtgIG_kTeSM,Viernes! | Convocados | Avisame Cuando Termines,2025-08-23T02:20:31Z,14481.0,269,14,0,"CONVOCADOS PROGRAMA #17

Vicky, Mili, Gastón y Leonel llegan con CONVOCADOS ¡Y va a estar tremendo!

Con nuevos integrantes, hoy tenemos de todo:
- Vicky y Mili en la plaza, buscando a alguien para acompañar. ¡Y puede pasar cualquier cosa!
- Después, todos en el estudio, cocinando hamburguesas… ¡pero sin alguno de los sentidos! ¿Salen ricas o catástrofe total?

VOS también sos parte: tirá ideas en el chat, sugerí desafíos y comenta desde dónde mirás.

No te lo pierdas: Suscribite y activá la campanita 🔔 para no perderte nada de este programon.

#Convocados #EnVivo #YouTube #Argentina #Mendoza #Hamburguesas


AVISAME CUANDO TERMINES

PROGRAMA #36 DE LA TEMPORADA 2  

💥 Programa #37 - Temporada 2 | 08/08


💬 Contanos en los comentarios:
¿Vos qué elegís: monogamia o libertad total?

📌 Suscribite para no perderte los próximos episodios y activá la campanita 🔔",No,,,
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,09-2025,QW6eHyWzpVY,https://www.youtube.com/watch?v=QW6eHyWzpVY,Jueves en Serebross TV | Indice Rural & No Jugamos a Nada,2025-08-22T11:25:52Z,9037.0,257,9,0,"ÍNDICE RURAL
Programa 29- Temporada 16

La actualidad de la agricultura y la ganadería de Mendoza está acá.

🌾Conoces la moha forrajera? El ingeniero agrónomo Armando Sosa nos cuenta todo de esta alternativa 

🥶 Nos preparamos para combatir las heladas tardías junto al ingeniero agrónomo Leonardo Togno, del INTA La Consulta 

🥚 Argentina alcanzó cifras récord de consumo y producción de huevos. Los datos te lo cuenta Juan Kútulas, presidente de CAPIA

🍇 Las paritarias vitivinicolas están marcha y nos brinda detalles Daniel Romero, secretario de prensa de FOEVA

#Moha #Forraje #Pastura #INTA #Heladas #Defensa #INTALaConsulta #Huevos #CAPIA #Gallinas #Paritarias #Vitivinícolas #FOEVA

🎙 NO JUGAMOS A NADA #69

¡Un programa para no perderse ni un segundo!

👉 Dale like, comentá y suscribite al canal.

#DeporteLocal #Futbolsanrafaelino #balonmano #TenisClub #Lomoro #NoJugamosANada #SerebrossTV",No,,,
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,09-2025,iNUCl7SNj5Q,https://www.youtube.com/watch?v=iNUCl7SNj5Q,Jueves en Serebross TV | Indice Rural & No Jugamos a Nada,2025-08-29T11:39:32Z,9695.0,251,6,1,"ÍNDICE RURAL
Programa 30- Temporada 16

La actualidad de la agricultura y la ganadería de Mendoza está acá.

🧽 Te quedaste con ganas de saber más sobre las esponjas vegetales? No te pierdas la visita de la ingeniera agrónoma Georgina Leoncelli

🌾 El ingeniero agrónomo Claudio Giardina nos cuenta como sembrar forrajes con drones!!!

🧄Se viene una capacitación sobre ajos. La invitación la hace el ingeniero agrónomo de La Consulta Aldo López 

🍇 Las paritarias vitivinicolas están marcha y nos brinda detalles Daniel Romero, secretario de prensa de FOEVA

 #luffas #EsponjaVegetal #drones #Forrajes #INTA #Ajo #capacitacion #ValleDeUco #Paritarias #Vitivinícolas #FOEVA


🎙 NO JUGAMOS A NADA #71
¡Nuevo episodio con toda la información del ámbito local!
Nos visita Agustín Tarantelli, ciclista local que es actual campeón argentino en XCO y estará participando en el Mundial de Suiza con la Selección Argentina
⚽ Maximiliano Herrera actual delantero de Pacífico y que viste la camiseta del seleccionado de la Liga Alvearense de Fútbol hablará con nosotros sobre lo que fue la clasificación a la gran final en la Copa País dentro de la Región Cuyo.
👉 Dale like, comentá y suscribite al canal.
👉 Dale like, comentá y suscribite al canal.
#Ciclismo #AgustinTarantelli #Mundial #CampeonArgentino #MaximilianoHerrera #Futbol #LigaAlvearense  #NoJugamosANada #SerebrossTV
🎬 CICISMO-AGUSTÍN TARANTELLI/FÚTBOL-MAXIMILIANO HERRERA
• Agustín  Tarantelli ciclista de 16 años integrante del seleccionado nacional, competirá en Europa| Capítulo 71
• Maximiliano Herrera figura en el triunfo de General Alvear| Capítulo 71",No,,,
