channel_id,channel_title,month,video_id,video_url,title,published_at,duration_sec,view_count,like_count,comment_count,description,monetizacion,platforms,links,ranking_mes,notas
UC7WpCrWnAh5DoHtMxbrtMnQ,Choco TV,07-2025,nHV7HdZc26E,https://www.youtube.com/watch?v=nHV7HdZc26E,MOMENTO DE TENSION ENTRE CONDUCTORAS  16 - 07,2025-07-16T15:22:11Z,5304.0,1095,25,2,,No,,,1,
UC7WpCrWnAh5DoHtMxbrtMnQ,Choco TV,07-2025,UdGhL8MWMJU,https://www.youtube.com/watch?v=UdGhL8MWMJU,MISTERIOS Y VIDENCIAS / EMOCIONES - ESCRITORAS MENDOCINAS 15 - 07,2025-07-15T17:50:18Z,9481.0,481,55,5,"INTRODUCCION: 00:00
#misteriosenmendoza 11:18
#librosdelavida 1:40:32",No,,,2,
UC7WpCrWnAh5DoHtMxbrtMnQ,Choco TV,07-2025,xmCFb6atzUY,https://www.youtube.com/watch?v=xmCFb6atzUY,"BASQUET, FÚTBOL Y BAILE  / KENYA Y EL ECOPARQUE  / VANWA: AGENCIA MENDOCINA   14 - 07",2025-07-14T20:03:40Z,14380.0,441,18,2,"Introduccion  00:00
#eldeportivo 17:02
#animalprint 2:16:21
#catarsis 3:18:41",No,,,3,
UC7WpCrWnAh5DoHtMxbrtMnQ,Choco TV,07-2025,s3Omx0sGKvw,https://www.youtube.com/watch?v=s3Omx0sGKvw,🔴ESTO ES REAL  / MACANUDOS / PROGRAMACIÓN ESPECIAL  11 - 07🔴,2025-07-11T18:40:38Z,14302.0,331,9,0,,No,,,4,
UC7WpCrWnAh5DoHtMxbrtMnQ,Choco TV,07-2025,bRZMwaTm6HM,https://www.youtube.com/watch?v=bRZMwaTm6HM,CATARSIS / REARGADOS / MODO 90 / VIAJANDO CON EMILIA 10 - 07,2025-07-10T20:51:03Z,16385.0,436,24,0,,No,,,5,
UC7WpCrWnAh5DoHtMxbrtMnQ,Choco TV,07-2025,Pcpn5wykz3I,https://www.youtube.com/watch?v=Pcpn5wykz3I,SALIMOS A LAS CALLES DE MENDOZA  / INVITADA: ELIANA ABDALA  08 - 07,2025-07-08T18:27:19Z,9282.0,393,51,2,"INTRODUCCION  00:00
#misteriosenmendoza 8:15
#librosdelavida 1:32:24",No,,,6,
UC7WpCrWnAh5DoHtMxbrtMnQ,Choco TV,07-2025,4UXBD7KehTY,https://www.youtube.com/watch?v=4UXBD7KehTY,LA VUELTA DE GODOY CRUZ AL GAMBARTE  / ESPECIAL: ERIZOS / VENDER EN REDES 07 - 07,2025-07-07T20:31:15Z,15884.0,429,12,0,"introduccion:  00:00
#eldeportivo 18:45
#animalprint 2:21:54
#catarsis 3:27:18",No,,,7,
UC7WpCrWnAh5DoHtMxbrtMnQ,Choco TV,07-2025,_-jt8cIGHTI,https://www.youtube.com/watch?v=_-jt8cIGHTI,CASAMIENTOS FAMOSOS Y WIFE MATERIAL  / MACANUDOS PICANTES   04 - 07,2025-07-04T17:46:36Z,11626.0,195,4,0,"Introduccion  00:00
#estoesreal  22:36
#macanudos 2:19:33",No,,,8,
UC7WpCrWnAh5DoHtMxbrtMnQ,Choco TV,07-2025,pSo6xhH-2a0,https://www.youtube.com/watch?v=pSo6xhH-2a0,🔴 ESCUCHAMOS PERO NO JUZGAMOS   / CATARSIS 02 - 07 🔴,2025-07-02T17:10:16Z,7547.0,2117,51,1,,No,,,9,
UC7WpCrWnAh5DoHtMxbrtMnQ,Choco TV,07-2025,W-tyIlsd-kM,https://www.youtube.com/watch?v=W-tyIlsd-kM,MISTERIOS EN BOLICHES MENDOCINOS / EMPRENDER CONSCIENTE  / HEFESTO CAFE  01 - 07,2025-07-01T18:44:47Z,12966.0,2830,95,10,"INTRODUCCION: 00:00
#misteriosenmendoza 12:10 
#librosdelavida 1:53:40
#catarsis 2:55:26",No,,,10,
