channel_id,channel_title,month,video_id,video_url,title,published_at,duration_sec,view_count,like_count,comment_count,description,monetizacion,platforms,links,ranking_mes,notas
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,07-2025,lubKsiFU_oI,https://www.youtube.com/watch?v=lubKsiFU_oI,A BAILARLA,2025-07-16T20:33:44Z,3373.0,931,76,5,,No,,,1,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,07-2025,jMsiI3f_Wn0,https://www.youtube.com/watch?v=jMsiI3f_Wn0,FORMULA TV,2025-07-16T12:18:35Z,4137.0,131,2,1,,No,,,2,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,07-2025,UyPK9WJriEM,https://www.youtube.com/watch?v=UyPK9WJriEM,NAI - NOTICIAS AL INSTANTE,2025-07-16T05:09:42Z,3536.0,401,29,2,,No,,,3,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,07-2025,xtjYA9YUVTI,https://www.youtube.com/watch?v=xtjYA9YUVTI,"HABLEMOS DE INTELIGENCIA ARTIFICIAL, INNOVACIÓN Y OPORTUNIDADES",2025-07-15T07:13:42Z,3889.0,304,17,0,,No,,,4,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,07-2025,ycmn7pAzuj4,https://www.youtube.com/watch?v=ycmn7pAzuj4,EPISODIO #15 TODO BAJO CONTROL,2025-07-14T17:14:32Z,3816.0,235,33,0,,No,,,5,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,07-2025,To38oUdffmY,https://www.youtube.com/watch?v=To38oUdffmY,SI SUCEDE CONVIENE,2025-07-14T17:12:05Z,3887.0,81,6,0,"💡 Dinámicas, preguntas al aire y reflexiones poderosas.
🎧 Escuchanos, compartilo, vivilo.",No,,,6,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,07-2025,tkFmI7bE_Ss,https://www.youtube.com/watch?v=tkFmI7bE_Ss,ALMA TURISTA,2025-07-14T17:11:30Z,3613.0,113,6,0,,No,,,7,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,07-2025,VbZ2sxM0w5M,https://www.youtube.com/watch?v=VbZ2sxM0w5M,FORMULA TV,2025-07-09T12:24:29Z,4412.0,362,7,2,,No,,,8,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,07-2025,GXyZbxflx10,https://www.youtube.com/watch?v=GXyZbxflx10,NAI,2025-07-09T05:11:50Z,3982.0,145,10,0,,No,,,9,
UCCKMZAvEMR7IzVKBxyLb9Lg,FLOYD TV ,07-2025,bX29NIL4BrY,https://www.youtube.com/watch?v=bX29NIL4BrY,ECONOMÍA TURISMO Y NEGOCIOS - INVITADO ROBY RIEDEL Ceo Mendoza Holidays DMC,2025-07-08T20:26:47Z,4117.0,192,7,0,,No,,,10,
