channel_id,channel_title,month,video_id,video_url,title,published_at,duration_sec,view_count,like_count,comment_count,description,monetizacion,platforms,links,notas
UCEyWRO2z22kOVW3z3OofCuw,DameTeve,05-2026,kTNhF7niCco,https://www.youtube.com/watch?v=kTNhF7niCco,🟢¡MATECITO!/ DAME TEVE EN VIVO 23/04,2026-04-24T14:43:08Z,7223.0,160,16,1,,No,,,
UCEyWRO2z22kOVW3z3OofCuw,DameTeve,05-2026,D2NYaCO51-A,https://www.youtube.com/watch?v=D2NYaCO51-A,🟢¡SE NOS PERDIO EL PAPEL!/ DAME TEVE EN VIVO 14/04,2026-04-15T17:16:43Z,7140.0,212,15,0,"MARTES: 
22:00 hs SE NOS PERDIÓ EL PAPEL 📜

JUEVES:
20hs MATECITO 🧉
22:30 hs EL FOLKLORE ESTA DE MODA 🎸🎻🎤

VIERNES:
16hs SE NOS PERDIÓ EL PAPEL 📜
18hs INTI MAGAZINE 🎙️",No,,,
UCEyWRO2z22kOVW3z3OofCuw,DameTeve,05-2026,Fwu3EL5pJs8,https://www.youtube.com/watch?v=Fwu3EL5pJs8,🟢¡SE NOS PERDIO EL PAPEL!/ DAME TEVE EN VIVO 10/04,2026-04-11T08:43:06Z,5474.0,231,10,0,"MARTES: 
22:00 hs SE NOS PERDIÓ EL PAPEL 📜

JUEVES:
20hs MATECITO 🧉
22:30 hs EL FOLKLORE ESTA DE MODA 🎸🎻🎤

VIERNES:
16hs SE NOS PERDIÓ EL PAPEL 📜
18hs INTI MAGAZINE 🎙️",No,,,
UCEyWRO2z22kOVW3z3OofCuw,DameTeve,05-2026,7uZpFICHdJ4,https://www.youtube.com/watch?v=7uZpFICHdJ4,🟢¡SE NOS PERDIO EL PAPEL!/ DAME TEVE EN VIVO 03/04,2026-04-04T08:15:45Z,3968.0,96,2,0,"MARTES: 
22:00 hs SE NOS PERDIÓ EL PAPEL 📜

JUEVES:
20hs MATECITO 🧉
22:30 hs EL FOLKLORE ESTA DE MODA 🎸🎻🎤

VIERNES:
16hs SE NOS PERDIÓ EL PAPEL 📜
18hs INTI MAGAZINE 🎙️",No,,,
UCEyWRO2z22kOVW3z3OofCuw,DameTeve,05-2026,T9vfmOVIFSw,https://www.youtube.com/watch?v=T9vfmOVIFSw,🟢¡INTI MAGAZINE!/ DAME TEVE EN VIVO 10/04,2026-04-11T11:47:01Z,7383.0,139,6,1,"MARTES: 
22:00 hs SE NOS PERDIÓ EL PAPEL 📜

JUEVES:
20hs MATECITO 🧉
22:30 hs EL FOLKLORE ESTA DE MODA 🎸🎻🎤

VIERNES:
16hs SE NOS PERDIÓ EL PAPEL 📜
18hs INTI MAGAZINE 🎙️",No,,,
UCEyWRO2z22kOVW3z3OofCuw,DameTeve,05-2026,8xSPjLTm6eU,https://www.youtube.com/watch?v=8xSPjLTm6eU,🟢¡MATECITO!/ DAME TEVE EN VIVO 02/04,2026-04-03T17:24:25Z,7365.0,141,12,0,"MARTES: 
22:00 hs SE NOS PERDIÓ EL PAPEL 📜

JUEVES:
20hs MATECITO 🧉
22:30 hs EL FOLKLORE ESTA DE MODA 🎸🎻🎤

VIERNES:
16hs SE NOS PERDIÓ EL PAPEL 📜
18hs INTI MAGAZINE 🎙️",No,,,
UCEyWRO2z22kOVW3z3OofCuw,DameTeve,05-2026,l7AoVv_DmgI,https://www.youtube.com/watch?v=l7AoVv_DmgI,🟢¡MATECITO!/ DAME TEVE EN VIVO 09/04,2026-04-10T14:43:45Z,7227.0,121,10,3,"MARTES: 
22:00 hs SE NOS PERDIÓ EL PAPEL 📜

JUEVES:
20hs MATECITO 🧉
22:30 hs EL FOLKLORE ESTA DE MODA 🎸🎻🎤

VIERNES:
16hs SE NOS PERDIÓ EL PAPEL 📜
18hs INTI MAGAZINE 🎙️",No,,,
UCEyWRO2z22kOVW3z3OofCuw,DameTeve,05-2026,8J7YP6yeS9k,https://www.youtube.com/watch?v=8J7YP6yeS9k,¡EL FOLKLORE ESTA DE MODA!/ DAME TV EN VIVO 16/04,2026-05-01T16:12:31Z,7110.0,216,13,0,"📺 GRILLA SEMANAL DAME TEVÉ
📲 Seguinos en Instagram: @dameteve


---

MARTES
🕖 10:00 - 12:00 — Nada que ver 🎙️🎭

MIÉRCOLES
🕘 21:00 - 23:00 — Métele pata 🐕

JUEVES
🕗 10:00 - 12:00 — Nada que ver 🎙️🎭
🕙 19:00 - 20:00 — INTI Magazine 🎙️
🕗 20:00 - 22:00 — Matecito 🧉🗣️
🕙 22:00 - 00:00 — El Folklore está de moda 🎤🎼",No,,,
UCEyWRO2z22kOVW3z3OofCuw,DameTeve,05-2026,IAUmkSsMTIM,https://www.youtube.com/watch?v=IAUmkSsMTIM,🟢¡METELE PATA! ESPECIAL/ DAME TEVE EN VIVO 28/04,2026-04-30T14:01:12Z,7260.0,248,20,1,"📺 GRILLA SEMANAL DAME TEVÉ
📲 Seguinos en Instagram: @dameteve


---

MARTES
🕖 10:00 - 12:00 — Nada que ver 🎙️🎭

MIÉRCOLES
🕘 21:00 - 23:00 — Métele pata 🐕

JUEVES
🕗 10:00 - 12:00 — Nada que ver 🎙️🎭
🕙 19:00 - 20:00 — INTI Magazine 🎙️
🕗 20:00 - 22:00 — Matecito 🧉🗣️
🕙 22:00 - 00:00 — El Folklore está de moda 🎤🎼",No,,,
UCEyWRO2z22kOVW3z3OofCuw,DameTeve,05-2026,I69u36SZ4SM,https://www.youtube.com/watch?v=I69u36SZ4SM,🟢¡SE NOS PERDIO EL PAPEL!/ DAME TEVE EN VIVO 28/04,2026-04-29T16:59:33Z,7369.0,289,35,4,,No,,,
