channel_id,channel_title,month,video_id,video_url,title,published_at,duration_sec,view_count,like_count,comment_count,description,monetizacion,platforms,links,notas
UCGSMykhyMD_z4g1lxINGz4w,LEMA Contenidos,05-2026,MzvfhO5u5cU,https://www.youtube.com/watch?v=MzvfhO5u5cU,PRECIO AMIGO || LEMA CONTENIDOS,2026-04-24T15:52:57Z,7786.0,420,29,0,"CON:
EMMANUEL
SONRI
NICO",No,,,
UCGSMykhyMD_z4g1lxINGz4w,LEMA Contenidos,05-2026,HPrUKgKa8AY,https://www.youtube.com/watch?v=HPrUKgKa8AY,PRECIO AMIGO || LEMA CONTENIDOS,2026-04-03T14:23:13Z,6270.0,312,20,0,"CON:
EMMANUEL TOBARES
SONRI PEREZ
NICOLAS ROJAS",No,,,
UCGSMykhyMD_z4g1lxINGz4w,LEMA Contenidos,05-2026,DN231fj3NBM,https://www.youtube.com/watch?v=DN231fj3NBM,PRECIO AMIGO || LEMA CONTENIDOS,2026-04-17T16:05:24Z,6657.0,248,17,2,"CON: 
EMMANUEL TOBARES
EMANUEL SONRISAS PERES
NICOLAS ROJAS",No,,,
UCGSMykhyMD_z4g1lxINGz4w,LEMA Contenidos,05-2026,aKQrCmzS3v8,https://www.youtube.com/watch?v=aKQrCmzS3v8,PRECIO AMIGO || LEMA CONTENIDOS,2026-04-10T15:42:45Z,5843.0,243,21,0,,No,,,
UCGSMykhyMD_z4g1lxINGz4w,LEMA Contenidos,05-2026,m0znvTLOQjM,https://www.youtube.com/watch?v=m0znvTLOQjM,MIRA QUIEN VINO || LEMA CONTENIDOS,2026-04-24T12:37:16Z,4866.0,227,18,1,"CON:
NATALIA
GABRIEL
SOFIA
JAVIER",No,,,
UCGSMykhyMD_z4g1lxINGz4w,LEMA Contenidos,05-2026,o56U1cbheo8,https://www.youtube.com/watch?v=o56U1cbheo8,PRECIO AMIGO || LEMA CONTENIDOS,2026-05-01T15:22:20Z,6339.0,224,13,0,"CON: 
EMMANUEL TOBARES
SONRI PEREZ
NICOLAS ROJAS",No,,,
UCGSMykhyMD_z4g1lxINGz4w,LEMA Contenidos,05-2026,a53PRsDWnWI,https://www.youtube.com/watch?v=a53PRsDWnWI,MIRA QUIEN VINO || LEMA CONTENIDOS,2026-04-10T11:56:44Z,3992.0,179,14,2,CON:,No,,,
UCGSMykhyMD_z4g1lxINGz4w,LEMA Contenidos,05-2026,FR15Ju49fHY,https://www.youtube.com/watch?v=FR15Ju49fHY,MIRA QUIEN VINO || LEMA CONTENIDOS,2026-04-17T12:22:59Z,4703.0,147,9,0,,No,,,
UCGSMykhyMD_z4g1lxINGz4w,LEMA Contenidos,05-2026,HTcggYFMBqo,https://www.youtube.com/watch?v=HTcggYFMBqo,PUNTO ROCK || LEMA CONTENIDOS,2026-04-23T12:59:45Z,2895.0,135,15,0,,No,,,
UCGSMykhyMD_z4g1lxINGz4w,LEMA Contenidos,05-2026,jfm0FjjLVSw,https://www.youtube.com/watch?v=jfm0FjjLVSw,PUNTO ROCK || LEMA CONTENIDOS,2026-04-16T13:35:55Z,3752.0,101,8,0,"CON:
JORGE RETAMALES",No,,,
