channel_id,channel_title,month,video_id,video_url,title,published_at,duration_sec,view_count,like_count,comment_count,description,monetizacion,platforms,links,ranking_mes,notas
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,07-2025,Rojchkq885k,https://www.youtube.com/watch?v=Rojchkq885k,CALLEN A LOS TÍOS: Los Amigos,2025-07-16T16:03:59Z,4575.0,179,13,0,"🧉👯‍♂️ Se viene el Día del Amigo y en Callen a los Tíos sacamos los trapitos al sol.
¿Todos tenemos un amigo que no paga ni el delivery? ¿Qué tan tóxico puede ser un grupo de WhatsApp? ¿Se puede cortar una amistad o hay que bancarse todo porque ""es amigo de toda la vida""?
May, Ro y Santi lo debaten como solo ellos pueden: a puro chisme, ironía y consejos que ningún psicólogo aprobaría.

#CallenALosTíos #DíaDelAmigo #AmistadesTóxicas #GruposDeAmigos #LaAmistadNoSeRinde #Bardo #CanalBardo #Mendoza #Argentina #Podcast #Stream #mendozapodcast

Seguinos en:
Instagram - https://www.instagram.com/canalbardo/
TikTok - https://www.tiktok.com/@canalbardo
X - https://x.com/canalbardo
Facebook - https://www.facebook.com/canalbardo/?locale=es_LA

Todas nuestras novedades en: https://canalbardo.com.ar/","Instagram, TikTok, Facebook, WebPropia","Instagram, TikTok, Facebook, WebPropia","https://www.instagram.com/canalbardo/, https://www.tiktok.com/@canalbardo, https://x.com/canalbardo, https://www.facebook.com/canalbardo/?locale=es_LA, https://canalbardo.com.ar/",1,
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,07-2025,Q3TtWBzQxdM,https://www.youtube.com/watch?v=Q3TtWBzQxdM,SE ACABÓ LA JODA: El Ligue,2025-07-16T16:02:20Z,3754.0,77,8,0,"💘👀 ¿El arte de encarar está en crisis?
En este capítulo de Se Acabó la Joda, nos metemos en terreno resbaladizo: el ligue, los códigos de levante y la delgada línea entre la seducción y el cringe.
¿Se encara igual que antes? ¿Hay que tirar data o dejar que fluya? ¿Qué tan triste es ir a un boliche y volver con una historia... de vergüenza?
Consejos, anécdotas y advertencias para no ser “ese” que todos quieren esquivar.

#SeAcabóLaJoda #ElLigue #Levante #CódigosDelChamuyo #EncararConEstilo #CulturaNoSwipe #Bardo #CanalBardo #Mendoza #Argentina #Podcast #Stream #mendozapodcast

Seguinos en:
Instagram - https://www.instagram.com/canalbardo/
TikTok - https://www.tiktok.com/@canalbardo
X - https://x.com/canalbardo
Facebook - https://www.facebook.com/canalbardo/?locale=es_LA

Todas nuestras novedades en: https://canalbardo.com.ar/","Instagram, TikTok, Facebook, WebPropia, Sponsors/Apuestas","Instagram, TikTok, Facebook, WebPropia, Sponsors/Apuestas","https://www.instagram.com/canalbardo/, https://www.tiktok.com/@canalbardo, https://x.com/canalbardo, https://www.facebook.com/canalbardo/?locale=es_LA, https://canalbardo.com.ar/",2,
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,07-2025,Wm6JZepe_Bs,https://www.youtube.com/watch?v=Wm6JZepe_Bs,BARDO FIERROS -  HIDRÓGENO BAJO LA LUPA ¿SIRVEN O SON HUMO?,2025-07-16T16:00:24Z,3887.0,102,7,0,"🛠️🚗 Apenas unos pocos fabricantes (Toyota, Hyundai, BMW) sostienen la apuesta por vehículos a hidrógeno, con ventajas reales—autonomía larga, recarga en minutos y cero emisiones—pero también desafíos gigantes como precio, infraestructura limitada y baja eficiencia comparada con eléctricos.
Vamos a analizar por qué empresas abandonan este futuro, mientras otros lo ven ideal para camiones y transporte pesado .
¿Vale la pena hoy? ¿O es sólo humo verde y marketing?

Seguinos en:
Instagram - https://www.instagram.com/canalbardo/
TikTok - https://www.tiktok.com/@canalbardo
X - https://x.com/canalbardo
Facebook - https://www.facebook.com/canalbardo/?locale=es_LA

Todas nuestras novedades en: https://canalbardo.com.ar/","Instagram, TikTok, Facebook, WebPropia, Sponsors/Apuestas","Instagram, TikTok, Facebook, WebPropia, Sponsors/Apuestas","https://www.instagram.com/canalbardo/, https://www.tiktok.com/@canalbardo, https://x.com/canalbardo, https://www.facebook.com/canalbardo/?locale=es_LA, https://canalbardo.com.ar/",3,
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,07-2025,lnAVrO79Y8k,https://www.youtube.com/watch?v=lnAVrO79Y8k,PERFUMES CON LEO PALET - 3G,2025-07-16T09:12:55Z,6787.0,254,17,0,"💄🧴 ¿Perfume para cada ocasión o puro humo?
En este episodio de 3G nos visita Leo Palet, referente del mundo de los perfumes, para charlar sobre estética, olores que marcan y la seducción olfativa.
¿Usás fragancias según el mood o te ponés lo que te regalaron? ¿El perfume hace al galán o solo tapa el olor a inseguridad?
El cruce generacional dice presente: uno quiere oler rico, el otro quiere oler a macho, y el otro… ni se baña.

#Perfumes #Estética #Seducción #LeoPalet #Fragancias #PerfumeDeHombre #Bardo #3G #CanalBardo #Mendoza #Argentina #Podcast #Stream #mendozapodcast

Seguinos en:
Instagram - https://www.instagram.com/canalbardo/
TikTok - https://www.tiktok.com/@canalbardo
X - https://x.com/canalbardo
Facebook - https://www.facebook.com/canalbardo/?locale=es_LA

Todas nuestras novedades en: https://canalbardo.com.ar/","Instagram, TikTok, Facebook, WebPropia","Instagram, TikTok, Facebook, WebPropia","https://www.instagram.com/canalbardo/, https://www.tiktok.com/@canalbardo, https://x.com/canalbardo, https://www.facebook.com/canalbardo/?locale=es_LA, https://canalbardo.com.ar/",4,
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,07-2025,FloGeMqWcYY,https://www.youtube.com/watch?v=FloGeMqWcYY,BUSCADORES DE SEÑALES DEL UNIVERSO - Ansiedad,2025-07-16T06:49:28Z,2608.0,156,16,1,"🧠🌫️ ¿Te cuesta no saber qué va a pasar? Bienvenido a la incertidumbre.
En este episodio de Mindfulness y Ansiedad, exploramos uno de los grandes detonantes del malestar actual: la intolerancia a no tener el control.
Cómo nos afecta, qué estrategias podemos entrenar y por qué aceptar la incertidumbre puede ser más poderoso que intentar evitarla.
Spoiler: no hay respuestas mágicas, pero sí herramientas.

#Mindfulness #Ansiedad #ToleranciaAlaIncertidumbre #Psicología #BienestarMental #SaludEmocional #Bardo #CanalBardo #Mendoza #Argentina #Podcast #Stream #mendozapodcast

Seguinos en:
Instagram - https://www.instagram.com/canalbardo/
TikTok - https://www.tiktok.com/@canalbardo
X - https://x.com/canalbardo
Facebook - https://www.facebook.com/canalbardo/?locale=es_LA

Todas nuestras novedades en: https://canalbardo.com.ar/","Instagram, TikTok, Facebook, WebPropia","Instagram, TikTok, Facebook, WebPropia","https://www.instagram.com/canalbardo/, https://www.tiktok.com/@canalbardo, https://x.com/canalbardo, https://www.facebook.com/canalbardo/?locale=es_LA, https://canalbardo.com.ar/",5,
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,07-2025,1zrnMmwwCbw,https://www.youtube.com/watch?v=1zrnMmwwCbw,ROSTER: EMPRESARIOS GASTRONÓMICOS,2025-07-11T08:52:44Z,5601.0,241,8,0,"🍽️💼 ¿Quiénes están detrás de los platos que amás?
En este episodio de Roster, nos metemos en el universo de los empresarios gastronómicos:
las decisiones que no se ven, los errores que casi los funden y los secretos que los hicieron crecer.
Nos visita uno de los responsables de Zitto Pizzería, y con él hablamos de todo:
deudas, competencia, deliverys imposibles y lo difícil que es hoy tener un local gastronómico en Argentina.
Spoiler: no es solo poner una mesa y prender el horno.

#Roster #EmpresariosGastronómicos #NegociosDeComida #GastronomíaMendoza #PizzaYNegocios #Zitto #CanalBardo #Bardo #Mendoza #Argentina #Podcast #Stream #mendozapodcast

Seguinos en:
Instagram - https://www.instagram.com/canalbardo/
TikTok - https://www.tiktok.com/@canalbardo
X - https://x.com/canalbardo
Facebook - https://www.facebook.com/canalbardo/?locale=es_LA

Todas nuestras novedades en: https://canalbardo.com.ar/","Instagram, TikTok, Facebook, WebPropia","Instagram, TikTok, Facebook, WebPropia","https://www.instagram.com/canalbardo/, https://www.tiktok.com/@canalbardo, https://x.com/canalbardo, https://www.facebook.com/canalbardo/?locale=es_LA, https://canalbardo.com.ar/",6,
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,07-2025,qi7aiYlqjkE,https://www.youtube.com/watch?v=qi7aiYlqjkE,SUPERMAN: TODO SOBRE LA NUEVA PELÍCULA,2025-07-11T04:21:55Z,2620.0,120,6,2,"🦸‍♂️🎬 El Peque se pone la capa (mental) y analiza TODO sobre el nuevo Superman.
En este stream se habla de cine, nostalgia y superhéroes.
El Peque repasa todo lo que se sabe sobre la nueva peli de Superman, qué cambia respecto a las anteriores, qué esperar del nuevo DC, y por qué esto puede ser un nuevo comienzo… o un nuevo desastre.
Comparaciones, teorías y verdades incómodas para fans del cine y el cómic.

#Superman #DCUniverse #PequeEnBardo #Peliculas #Cine #CulturaGeek #Bardo #CanalBardo #Mendoza #Argentina #Podcast #Stream #mendozapodcast #Superheroes

Seguinos en:
Instagram - https://www.instagram.com/canalbardo/
TikTok - https://www.tiktok.com/@canalbardo
X - https://x.com/canalbardo
Facebook - https://www.facebook.com/canalbardo/?locale=es_LA

Todas nuestras novedades en: https://canalbardo.com.ar/","Instagram, TikTok, Facebook, WebPropia","Instagram, TikTok, Facebook, WebPropia","https://www.instagram.com/canalbardo/, https://www.tiktok.com/@canalbardo, https://x.com/canalbardo, https://www.facebook.com/canalbardo/?locale=es_LA, https://canalbardo.com.ar/",7,
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,07-2025,8Vs6BItilfM,https://www.youtube.com/watch?v=8Vs6BItilfM,BARDO FIERROS: ROTARY GARAGE,2025-07-10T07:25:25Z,4064.0,187,17,3,"🛠️🚗 Cuando alguien vive entre autos, el taller es su templo.
Hoy en Bardo Fierros nos visita el equipo de Rotary Garage, una crew que respira fierros y lleva la pasión por los autos al siguiente nivel.
Charlamos sobre su historia, los proyectos que los hicieron conocidos, las locuras que se animan a hacer y qué es lo que realmente define a un fanático de la mecánica.
Una charla entre entendidos, para los que aman el olor a aceite y velocidad.

#RotaryGarage #BardoFierros #FierrosArgentinos #Mecanica #AutosCustom #CanalBardo #Bardo #Mendoza #Argentina #Podcast #Stream #mendozapodcast #TallerMecanico

Seguinos en:
Instagram - https://www.instagram.com/canalbardo/
TikTok - https://www.tiktok.com/@canalbardo
X - https://x.com/canalbardo
Facebook - https://www.facebook.com/canalbardo/?locale=es_LA

Todas nuestras novedades en: https://canalbardo.com.ar/","Instagram, TikTok, Facebook, WebPropia","Instagram, TikTok, Facebook, WebPropia","https://www.instagram.com/canalbardo/, https://www.tiktok.com/@canalbardo, https://x.com/canalbardo, https://www.facebook.com/canalbardo/?locale=es_LA, https://canalbardo.com.ar/",8,
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,07-2025,hE-o266hfjg,https://www.youtube.com/watch?v=hE-o266hfjg,STREAM DE LOS TÍOS: TE LLAMAMOS EN VIVO,2025-07-09T10:43:19Z,4373.0,199,8,0,"📞💥 May llama a sus seguidores… ¿y qué puede salir mal?
Hoy la Tía May agarró el celu y empezó a llamar gente en vivo.
Historias delirantes, respuestas inesperadas y situaciones que nadie vio venir.
Spoiler: nadie está preparado para recibir una llamada de May.

#TiaMay #CallenALosTios #LlamadasEnVivo #StreamEnVivo #HumorCaótico #Bardo #CanalBardo #Mendoza #Argentina #Podcast #Stream #mendozapodcast #Seguidores

Seguinos en:
Instagram - https://www.instagram.com/canalbardo/
TikTok - https://www.tiktok.com/@canalbardo
X - https://x.com/canalbardo
Facebook - https://www.facebook.com/canalbardo/?locale=es_LA

Todas nuestras novedades en: https://canalbardo.com.ar/","Instagram, TikTok, Facebook, WebPropia","Instagram, TikTok, Facebook, WebPropia","https://www.instagram.com/canalbardo/, https://www.tiktok.com/@canalbardo, https://x.com/canalbardo, https://www.facebook.com/canalbardo/?locale=es_LA, https://canalbardo.com.ar/",9,
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,07-2025,2A8JA6IyP-s,https://www.youtube.com/watch?v=2A8JA6IyP-s,STREAM CHILL: PETER Y FABIO,2025-07-09T09:18:34Z,2845.0,123,5,0,"🤣💻 No sabemos qué carajo va a pasar, pero seguro nos vamos a reír.
Peter y Fabio se sientan frente al micrófono con una misión clara: no tener ninguna misión.
Reacciones, risas, comentarios sin sentido (o con demasiado), y ese hermoso caos que solo puede nacer del no tener idea qué hacer.
Lo importante no es el plan. Lo importante es el bardo.

#PeterYFabio #StreamCaótico #Reacciones #ImprovisaciónTotal #HumorBardo #Bardo #CanalBardo #Mendoza #Argentina #Podcast #Stream #mendozapodcast #RandomPeroReal

Seguinos en:
Instagram - https://www.instagram.com/canalbardo/
TikTok - https://www.tiktok.com/@canalbardo
X - https://x.com/canalbardo
Facebook - https://www.facebook.com/canalbardo/?locale=es_LA

Todas nuestras novedades en: https://canalbardo.com.ar/","Instagram, TikTok, Facebook, WebPropia","Instagram, TikTok, Facebook, WebPropia","https://www.instagram.com/canalbardo/, https://www.tiktok.com/@canalbardo, https://x.com/canalbardo, https://www.facebook.com/canalbardo/?locale=es_LA, https://canalbardo.com.ar/",10,
