channel_id,channel_title,month,video_id,video_url,title,published_at,duration_sec,view_count,like_count,comment_count,description,monetizacion,platforms,links,notas
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,12-2025,h7IKNjNaoF0,https://www.youtube.com/watch?v=h7IKNjNaoF0,El negocio REAL de las ferreterías 🔧💰 | Fondo de Comercio By Bardo,2025-11-18T09:15:40Z,3797.0,179,5,0,"En este episodio de Fondo de Comercio nos metimos en el mundo de las ferreterías, uno de los rubros más clásicos pero también más exigentes de Argentina.
Hablamos de márgenes, proveedores, rotación, stock, competencia, atención al cliente y qué hace que algunas ferreterías crezcan mientras otras no llegan a cubrir los costos.

También analizamos qué tenés que tener en cuenta si querés comprar o vender una ferretería, cómo se valúa, qué inventario suma valor y cuáles son las trampas que nadie te avisa hasta que ya estás metido.

Si te interesan los negocios reales y querés entender cómo funciona este rubro desde adentro, este episodio es para vos.
Si te sirvió, suscribite, comentá tu experiencia y compartilo.

#Bardo #CanalBardo #Mendoza #Argentina #Podcast #Stream #mendozapodcast #FondoDeComercio #Ferreterías #Negocios #Comercio #Inversiones #PyMEs

Seguinos en:
Instagram - https://www.instagram.com/canalbardo/
TikTok - https://www.tiktok.com/@canalbardo
X - https://x.com/canalbardo
Facebook - https://www.facebook.com/canalbardo/?locale=es_LA

Todas nuestras novedades en: https://canalbardo.com.ar/",No,,"https://www.instagram.com/canalbardo/, https://www.tiktok.com/@canalbardo, https://x.com/canalbardo, https://www.facebook.com/canalbardo/?locale=es_LA, https://canalbardo.com.ar/",
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,12-2025,AiVio2oCTI8,https://www.youtube.com/watch?v=AiVio2oCTI8,"Gastronomía, fuego y bodegas: ELLAS AL MANDO 💪🔥 | Roster By Bardo",2025-11-15T08:40:52Z,4424.0,167,4,0,"En este episodio de Roster By Bardo hablamos con mujeres que están transformando la gastronomía desde dos lugares clave: la parrilla y las bodegas. Conversamos sobre sus historias, el camino para ganarse un espacio en un rubro históricamente masculino, la creatividad en la cocina y el rol del vino en la experiencia gastronómica.

También profundizamos en técnicas, inspiración, desafíos, prejuicios, y cómo se construye una carrera en un mundo donde el fuego, la producción y el servicio exigen carácter, sensibilidad y mucha pasión.

Si te gusta la gastronomía, el vino y las historias reales de quienes empujan la industria hacia adelante, este episodio te va a encantar.
Si te sumó, suscribite, comentá y compartilo.

#Bardo #CanalBardo #Mendoza #Argentina #Podcast #Stream #mendozapodcast #Roster #Gastronomía #Parrilla #MujeresGastronómicas #Bodegas #Vino #Cocina

Seguinos en:
Instagram - https://www.instagram.com/canalbardo/
TikTok - https://www.tiktok.com/@canalbardo
X - https://x.com/canalbardo
Facebook - https://www.facebook.com/canalbardo/?locale=es_LA

Todas nuestras novedades en: https://canalbardo.com.ar/",No,,"https://www.instagram.com/canalbardo/, https://www.tiktok.com/@canalbardo, https://x.com/canalbardo, https://www.facebook.com/canalbardo/?locale=es_LA, https://canalbardo.com.ar/",
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,12-2025,NfilnegStTE,https://www.youtube.com/watch?v=NfilnegStTE,EL LADO DULCE DE LA GASTRONOMÍA 🍰 – Roster By Bardo,2025-11-01T08:48:06Z,3880.0,125,6,2,"En este nuevo episodio de Roster By Bardo, nos metemos en el universo de la pastelería, la panadería y la repostería artesanal junto a cuatro referentes del sabor y la creatividad.
Charlamos sobre las tendencias en gastronomía dulce, los secretos detrás de un buen postre, la pasión por amasar, y cómo hoy el arte pastelero se fusiona con la estética, la técnica y la experiencia sensorial.

💬 “El azúcar también puede contar una historia.”
💬 “No hay nada más honesto que el olor del pan recién hecho.”
💬 “La pastelería es química, arte y amor por los detalles.”

#RosterByBardo #Gastronomía #Pastelería #Panadería #Postres #Mendoza #Chefs #Bardo #GastronomíaDulce #Foodies

Seguinos en:
Instagram - https://www.instagram.com/canalbardo/
TikTok - https://www.tiktok.com/@canalbardo
X - https://x.com/canalbardo
Facebook - https://www.facebook.com/canalbardo/?locale=es_LA

Todas nuestras novedades en: https://canalbardo.com.ar/",No,,"https://www.instagram.com/canalbardo/, https://www.tiktok.com/@canalbardo, https://x.com/canalbardo, https://www.facebook.com/canalbardo/?locale=es_LA, https://canalbardo.com.ar/",
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,12-2025,YXUZ_z6c7PY,https://www.youtube.com/watch?v=YXUZ_z6c7PY,SORTEO DEL MILLON,2025-11-18T04:39:21Z,2564.0,198,10,0,,No,,,
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,12-2025,I8sb7M4VGuM,https://www.youtube.com/watch?v=I8sb7M4VGuM,RAMI en 3G: El niño que sacude el fútbol argentino 😱⚽ | 3G By Bardo,2025-11-19T09:37:41Z,4862.0,311,8,0,"En este episodio de 3G, recibimos a Rami, el pibe de 11 años que explotó en redes hablando del Tomba, de los periodistas y del fútbol argentino sin miedo y con una claridad que sorprendió a todos.

Charlamos de cómo vive el fútbol, qué lo inspira, por qué dice lo que dice sin filtro, qué piensa de Godoy Cruz, de los medios y del futuro del deporte. Un stream fresco, divertido y con esa energía única que solo un pibe futbolero puede traer.

Si te gustó, suscribite, dejá tu comentario y compartilo con alguien del mundo Tombino o futbolero.

#Bardo #CanalBardo #Mendoza #Argentina #Podcast #Stream #mendozapodcast #3G #Fútbol #Rami #Tomba #GodoyCruz #Periodismo #FútbolArgentino

Seguinos en:
Instagram - https://www.instagram.com/canalbardo/
TikTok - https://www.tiktok.com/@canalbardo
X - https://x.com/canalbardo
Facebook - https://www.facebook.com/canalbardo/?locale=es_LA

Todas nuestras novedades en: https://canalbardo.com.ar/",No,,"https://www.instagram.com/canalbardo/, https://www.tiktok.com/@canalbardo, https://x.com/canalbardo, https://www.facebook.com/canalbardo/?locale=es_LA, https://canalbardo.com.ar/",
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,12-2025,cEYa-3rnM5c,https://www.youtube.com/watch?v=cEYa-3rnM5c,"TDAH: MITOS, VERDADES Y SOLUCIONES 💬| Mind By Bardo",2025-11-05T07:22:08Z,4152.0,209,17,0,"En este nuevo episodio de Mind By Bardo, hablamos con una especialista en TDAH (Trastorno por Déficit de Atención e Hiperactividad) para entender cómo piensa, siente y vive una persona con este diagnóstico.

Exploramos las causas, los síntomas, los mitos y las herramientas para acompañar mejor —tanto desde lo emocional como desde lo práctico— a quienes viven con TDAH.
Una charla profunda, humana y necesaria sobre salud mental, empatía y neurodiversidad.

💬 “No es falta de voluntad, es una forma distinta de procesar el mundo.”
💬 “El TDAH no te define, pero entenderlo te transforma.”
💬 “La mente no está rota: solo necesita otro tipo de enfoque.”

#MindByBardo #Bardo #TDAH #SaludMental #Psicología #Neurodiversidad #Atención #Hiperactividad #Empatía #bienestar 

Seguinos en:
Instagram - https://www.instagram.com/canalbardo/
TikTok - https://www.tiktok.com/@canalbardo
X - https://x.com/canalbardo
Facebook - https://www.facebook.com/canalbardo/?locale=es_LA

Todas nuestras novedades en: https://canalbardo.com.ar/",No,,"https://www.instagram.com/canalbardo/, https://www.tiktok.com/@canalbardo, https://x.com/canalbardo, https://www.facebook.com/canalbardo/?locale=es_LA, https://canalbardo.com.ar/",
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,12-2025,O7aq8GtDOW0,https://www.youtube.com/watch?v=O7aq8GtDOW0,EL NEGOCIO DEL LOMO 🥩 | Fondo de Comercio By Bardo,2025-11-11T09:21:58Z,4353.0,208,5,1,"En este capítulo de Fondo de Comercio By Bardo nos metemos en el universo de las lomiterías 🥪
Esos templos del pan, la mayonesa y el humo de la plancha.
Charlamos con dueños, sobre cómo se mantiene vivo el rubro, qué hace que un lomo sea “el lomo”, y qué pasa detrás del mostrador cuando hay fila hasta la esquina.

#FondoDeComercio #Bardo #CanalBardo #Mendoza #Argentina #Lomiterías #Gastronomía #ComidaCallejera

Seguinos en:
Instagram - https://www.instagram.com/canalbardo/
TikTok - https://www.tiktok.com/@canalbardo
X - https://x.com/canalbardo
Facebook - https://www.facebook.com/canalbardo/?locale=es_LA

Todas nuestras novedades en: https://canalbardo.com.ar/",No,,"https://www.instagram.com/canalbardo/, https://www.tiktok.com/@canalbardo, https://x.com/canalbardo, https://www.facebook.com/canalbardo/?locale=es_LA, https://canalbardo.com.ar/",
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,12-2025,yAg2b-DO8OQ,https://www.youtube.com/watch?v=yAg2b-DO8OQ,CÓMO SE FORMA UN VERDADERO LÍDER 🎓🔥 | Bardo By CEM,2025-11-26T08:07:39Z,3262.0,83,3,0,"En este episodio de Bardo By CEM conversamos con Alfredo Romano, Horacio Altieri y Lourdes Sánchez sobre el impacto real que están teniendo los programas formativos del CEM en la educación mendocina.

Repasamos cómo nació el Programa de Formación de Líderes Educativos, su enfoque en liderazgo, gestión y herramientas digitales, y cómo evolucionó hasta convertirse en uno de los espacios de capacitación más importantes de la provincia. También hablamos de Secundaria 360, el vínculo con el mundo laboral, la cohorte de rectores, el concurso de jerarquía y los nuevos desafíos del sistema educativo.

Además, Lourdes comparte su experiencia en primera persona: cómo pasó de ser alumna del programa a convertirse en directora y caso de éxito del modelo formativo del CEM.

Si te interesa la educación, la gestión y el liderazgo real dentro de las escuelas, este episodio te va a dar una mirada profunda y honesta.
Si te gustó, suscribite, dejá tu comentario y compartilo con alguien del ámbito educativo.

#Bardo #CanalBardo #Mendoza #Argentina #Podcast #Stream #mendozapodcast #Educación #Liderazgo #CEM #FormaciónDocente #LideresEducativos #Secundaria360 #GestiónEscolar",No,,,
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,12-2025,BO8NXJGzvvM,https://www.youtube.com/watch?v=BO8NXJGzvvM,Las MEJORES (y peores) zapas según El Barto 👟 | Canal Barto By Bardo,2025-11-15T07:19:21Z,4158.0,234,9,0,"En este episodio de Canal Barto, El Barto se puso filoso y salió a rankear y puntuar zapatillas sin filtro. Modelos clásicos, hypeados, baratos, carísimos… ninguno se salvó.
Hablamos de comodidad, calidad real, marketing, precio, durabilidad y cuáles son las zapas que valen la pena y cuáles son puro humo.

Si te gusta el bardo, la moda callejera y las opiniones picantes, este episodio es para vos.
Si te cebó, suscribite, dejá tu puntuación en los comentarios y compartilo con alguien que vive comprando zapas.

#Bardo #CanalBardo #Mendoza #Argentina #Podcast #Stream #mendozapodcast #CanalBarto #Zapatillas #Sneakers #Ranking #ModaUrbana #Streetwear #Opiniones",No,,,
UCRw1y2JAiHN3mcjjCtrBBng,Canal Bardo,12-2025,G6AU22WIazc,https://www.youtube.com/watch?v=G6AU22WIazc,MARTINA CONTRERAS GIORGIO: GANADORA DEL PREMIO CEM 🏆 – Bardo By CEM,2025-11-05T06:02:54Z,3163.0,72,3,0,"En este nuevo episodio de Bardo By CEM, celebramos el talento y la dedicación de Martina Tiziana Contreras Giorgio, ganadora de la Categoría 5: “Liderazgo, Compromiso, Innovación y Logros Deportivos”.

Una charla inspiradora sobre el esfuerzo, la disciplina y el amor por el deporte. Martina nos cuenta su recorrido, los desafíos que enfrentó, y cómo la pasión puede convertirse en una herramienta de superación y transformación personal.

💬 “La pasión sin constancia no alcanza.”
💬 “El esfuerzo diario es lo que te convierte en líder.”
💬 “El deporte te enseña a levantarte una y otra vez.”

#BardoByCEM #PremiosCEM #Mendoza #Deporte #Liderazgo #Innovación #Compromiso #Inspiración #HistoriasQueMotivan",No,,,
