channel_id,channel_title,month,video_id,video_url,title,published_at,duration_sec,view_count,like_count,comment_count,description,monetizacion,platforms,links,ranking_mes,notas
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,07-2025,fn5bCPnDilA,https://www.youtube.com/watch?v=fn5bCPnDilA,NO JUGAMOS A NADA #59: Hockey Las Leoncitas/Tiro Deportivo/Pedal puntero del campeonato,2025-07-16T13:17:04Z,7294.0,194,3,0,"NO JUGAMOS A NADA #59

Dialogaremos con Jorge Pablo Fernández actual presidente de la Asociación Amateur Sanrafaelina de Hockey sobre césped, para hablar de una nueva concentración nacional de su hija Mía Fernández con Las Leoncitas.

Adrián Lipparelli nuevo presidente del Tiro Federal Argentino San Rafael nos visitará para comentarnos de la actualidad de la actividad de la actividad.

Para cerrar estará con nosotros, Gabriel González, actual arquero del Sportivo Pedal Club líder del Torneo Apertura del fútbol sanrafaelino.

#stream #sanrafael #mendoza #tv #nada #streaming #streammendoza #envivo #deportes #live #futbol",No,,,1,
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,07-2025,HQtdhK79ne4,https://www.youtube.com/watch?v=HQtdhK79ne4,Viernes! | Convocados | Avisame Cuando Termines,2025-07-12T02:30:18Z,14805.0,252,8,0,"Los viernes son únicos en Serebross TV

Convocados Programa #12

EJERCITAR tu cuerpo es posible! | Ramiro Altamiranda 

Este viernes en Convocados, nos visita  Ramiro Altamiranda (profesor de educación física) para charlar sobre cómo ejercitar tu cuerpo ¡sin morir en el intento! 💪  

Además, Milagros y Gastón traen un juego sobre Mundiales de fútbol que va generar debate.. te sumás? 🤼‍♂  

✅ Suscribite + activá la campanita 🛎: acá hablamos de todo el deporte sin filtros.

#Convocados #Deportes #Mendoza #Streaming #entrenamiento #vidasaludable

Avísame Cuando Termines - Programa #32 Temporada 2

Lo que todos pensamos pero nadie se atreve a decir, sexualidad y risas.

¿Alguna vez tuviste una mala experiencia sexual?¿Algún muertito en el Placard o situación que te avergüenza?
En este programa vamos a sacar toda la vergüenza afuera y demostrar que es más común de lo que pensas...anímate a participar y a conocer,por medio de la grafología,tips para que no te vuelvas a cruzar con fiascos sexuales.
También vamos a conocer sobre intersexualidad con Romi para ampliar temas relacionados al género.

#verguenza #sexualidad  #conocernos#grafologia #intersexualidad #sexualidad #erotismo #practicaseroticas #sexualidadlibre #mesdelorgullo #sexologiapublica #LGBTQ+ #ninfomanía #asexualidad
#stream  #deportes #sexualidad #noticiasinternacionales 
#stream #sanrafael #mendoza #tv #nada #streaming #streammendoza #envivo #deportes #live #futbol",No,,,2,
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,07-2025,a72EsMPYL6Q,https://www.youtube.com/watch?v=a72EsMPYL6Q,Luvenio | Programa #3,2025-07-11T13:46:21Z,7250.0,248,16,0,"La música, los DJ's, la noche y las fiestas en un stream único de la mano de Franco Giraudo y Vale Albornoz.

Hoy contamos con la participación especial de Laiven  y un set único de la mano de DJ Nadimix (Nico Nadal)

#dj #liveset #livestream #livesession #music #sanrafael #mendoza #djenvivo #livestream",No,,,3,
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,07-2025,OZj8rytQ9kM,https://www.youtube.com/watch?v=OZj8rytQ9kM,Jueves en Serebross TV | Indice Rural S16E24 | No Jugamos a nada E58,2025-07-11T11:20:26Z,8871.0,204,3,0,"INDICE RURAL
Programa 24- Temporada 16

La actualidad de la agricultura y la ganadería de Mendoza está acá.

🏠 Abrazo al INTA
El licenciado Andrés Quiroga, técnico del INTA Rama Caída y Secretario General de APINTA, nos cuenta sobre la situación actual de la institución. También estuvo participando del Congreso Nacional de Educación Técnica

🧽 ¿Sabías que se puede producir lufas en San Rafael?
No te pierdas todo lo que nos va a contar sobre la producción de esta esponja vegetal la productora Catalina Merenda 

🌊 La Cuenca del Río Atuel tiene nueva autoridad
El ingeniero Santiago Del Río es el nuevo subdelegado de Aguas de la Cuenca del Río Atuel.

🎃 Complejo panorama para la producción de zapallo
Hace un tiempo conocíamos a Pedro Manzano porque tuvo que perder su producción de tomate por los bajos precios. Hoy la situación se repite con los zapallos.

#INTA #APINTA #AbrazoINTA ""SomosINTA #EEARamaCaída #DesarrolloRural #EscuelasTécnicas
#Lufas #EsponjaVegetal #RíoAtuel #Irrigación #Zapallo #Produccón #Agricultura


NO JUGAMOS A NADA

Hoy en ""jueves especiales"" en ""No jugamos a Nada"" hablaremos de Discapacidad: el deporte, una herramienta esencial para la inclusión

En el especial de este jueves hablaremos de deporte adaptado con grandes referentes del ámbito local.",No,,,4,
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,07-2025,o-XMgHLcvPE,https://www.youtube.com/watch?v=o-XMgHLcvPE,De Arriba Abajo | Programa #41,2025-07-10T01:42:41Z,9160.0,213,5,0,"🇦🇷 ¡Hoy celebramos el Día de la Independencia con un stream bien patrio!
Prepárate para un programón cargado de sorpresas, actualidad y un Putinoti caliente como locro recién hecho.

💬 Seguimos con las dudas que quedaron pendientes sobre apps de citas… ¿match o ghosting?
📱 No te podés perder el tutorial de hoy que te va a dejar como nuevx.
🥋 Y para cerrar con broche de oro, nos visita una instructora de defensa personal que nos va a dar tips clave y una demostración en vivo para que te sientas más segurx que nunca.

🎉 ¡Traete el mate, las empanadas y venite al stream!
Nos vemos en vivo 💻💬

#StreamEnVivo #9DeJulio #DíaDeLaIndependencia #Argentina #PutinotiCaliente #AppsDeCitas #DefensaPersonal #TipsÚtiles #HumorEnVivo #Actualidad #MateYStream",No,,,5,
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,07-2025,QvyqkzWMCh4,https://www.youtube.com/watch?v=QvyqkzWMCh4,NO JUGAMOS A NADA #57:  Hockey sel. sanrafaelino | Maristas/Huracán crece en divisiones inferiores,2025-07-09T13:20:35Z,7428.0,118,2,0,"NO JUGAMOS A NADA #57

Candela Bafumo y Camila de Quirós integrantes del seleccionado sanrafaelino de hockey nos visitan para hablar del ascenso en el Campeonato Argentino de Selecciones Ascenso Mayores Damas C jugado en Neuquén.

Dialogamos con la presidenta del Club Maristas de San Rafael, Patricia Luján y Gustavo Tabanera para hablar del crecimiento de la institución en estos 10 años.

Huracán presentó suma profesionales en su equipo de divisiones inferiores, al respecto brindarán detalles Hugo Astudillo el Director Deportivo de divisiones inferiores y el presidente del club, Daniel Garre.

#stream #sanrafael #mendoza #tv #nada #streaming #streammendoza #envivo #deportes #live #futbol",No,,,6,
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,07-2025,UAJBCNMJoDY,https://www.youtube.com/watch?v=UAJBCNMJoDY,"Acordate de Nada #21 - Personas NO gratas, gurús motivadores y dormir",2025-07-08T09:10:38Z,6256.0,106,11,0,"Acordate de Nada - Programa #21

En el día de hoy, abordaremos las distintas clases de personas que pueden ser consideradas ""Personas NO gratas"", que a toda costa deberíamos evitar tener en nuestra vida. Motivar a la gente está bien, pero hay personajes de internet que se abusan para dar un mensaje errado y absurdo, generando contenido nefasto. Por último, hablamos sobre el hermoso acto de dormir, situaciones insólitas sobre el mismo y como tener un mejor hábito: ¿Cuántas horas hay que dormir?; ¿Que no hay que hacer antes de dormir?. Según nuestra experiencia y la del público.

#streaming #stream #personasfunables #motivacion #disciplina #coaching #dormir #mendoza #sanrafael",No,,,7,
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,07-2025,L5CZcJGHQ9Y,https://www.youtube.com/watch?v=L5CZcJGHQ9Y,Viernes! | Convocados | Avisame Cuando Termines,2025-07-05T14:19:48Z,13659.0,436,10,0,"Los viernes son únicos en Serebross TV

Convocados Programa #11

Este viernes en Convocados, nos visita  Carolina Aldave (kinesióloga, osteópata y jugadora de básquet) a charlar sobre cómo proteger tu cuerpo y prevenir lesiones ¡sin morir en el intento! 💪  

Además, Milagros y Gastón traen un juego POLÉMICO que va generar debate.. te sumás? 🤼‍♂  

✅ Suscribite + activá la campanita 🛎: acá hablamos de todo el deporte sin filtros.

#Convocados #Deportes #Mendoza #Streaming

Avísame Cuando Termines - Programa #31 Temporada 2

Lo que todos pensamos pero nadie se atreve a decir, sexualidad y risas.

El erotismo y la comida siempre van de la mano, una cena, un vino, todo enciende los sentidos. En este programa vamos a indagar en una técnica japonesa llamada “nyotaimori”, el arte del sushi sobre el cuerpo, ¿te imaginas comer sobre un cuerpo desnudo? Hoy encendemos tus sentidos. 

#sushi #sexualidad #erotismo #practicaseroticas #sushisobreelcuerpo
#sexualidadlibre #mesdelorgullo #sexologiapublica #LGBTQ+# sexoenelauto #ninfomanía #asexualidad
#stream  #deportes #sexualidad #noticiasinternacionales 
#stream #sanrafael #mendoza #tv #nada #streaming #streammendoza #envivo #deportes #live #futbol",No,,,8,
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,07-2025,svhhV3mJkds,https://www.youtube.com/watch?v=svhhV3mJkds,Jueves en Serebross TV | Indice Rural S16E23 | No Jugamos a nada E56,2025-07-04T11:22:42Z,9041.0,109,5,0,"INDICE RURAL

La actualidad de la agricultura y la ganadería de Mendoza está a acá. 

🥶 Llegó el frío con todo!!! 
El ingeniero Raúl Besa nos enseñará sobre las buenas prácticas agrícolas ante las bajas temperaturas

🚜 La tecnología está al servicio del campo Conoceremos el manejo de drones en la agricultura con el ingeniero agrónomo Nicolás Rivier.

🏡 Desde el Colegio de Corredores Inmobiliarios Jorge Altamirano nos contará todo lo que necesitamos saber del mercado inmobiliario Rural 

#OlaPolar #Frío #Agricultura #PracticasAgrícolas 
#Dron #DronesEnAgricultura
#MercadoInmibiliario #Fincas #Campos

NO JUGAMOS A NADA

Hoy en ""jueves especiales"" en ""No jugamos a Nada"" hablaremos de aquellos aspectos a tener en cuenta en la organización de eventos deportivos. La planificación, coordinación y ejecución de actividades deportivas. Bruno Romani y Carlos Becerra, anunciarán próximos eventos.",No,,,9,
UCxy1_VhGyaCbto2-DcXqk_w,Serebross TV,07-2025,qOWXJzFVNiM,https://www.youtube.com/watch?v=qOWXJzFVNiM,Luvenio | Transmisión especial desde Guantánamo Bar,2025-07-04T03:31:36Z,13639.0,828,32,0,"La música, los DJ's, la noche y las fiestas en un stream único de la mano de Franco Giraudo y Valen Albornoz.
En esta ocasión en vivo desde Guantánamo Bar en San Rafael, Mendoza.
2 Dj´s set en vivo, nuestro residente Franco Giraudo y el invitado Facundo Gaggioli.
Venite a la transmisión desde las 20:30 y hasta 00:00 en Avda. Hip. Yrigoyen 1630.
#dj #liveset #livestream #livesession #transmisión #exterior #bar #pool #party #streaming #mendoza #sanrafael",No,,,10,
