channel_id,channel_title,month,video_id,video_url,title,published_at,duration_sec,view_count,like_count,comment_count,description,monetizacion,platforms,links,notas
UCFZjTV0t9dCk2ojUeXOOatA,voxxtv,04-2026,lXx3RdO3KcQ,https://www.youtube.com/watch?v=lXx3RdO3KcQ,VALERIA QUIROGA MEDIUM,2026-03-07T15:27:17Z,4110.0,183,13,0,,No,,,
UCFZjTV0t9dCk2ojUeXOOatA,voxxtv,04-2026,Ckyclv9JMS4,https://www.youtube.com/watch?v=Ckyclv9JMS4,Valeria Quiroga MEDIUM || podés pedir una sesión personalizada || 2604622434 || ,2026-03-04T09:35:14Z,5083.0,228,20,3,"Tarot de los signos en voxxtv de la mano de Valeria Quiroga. 
tenes alguna pregunta para hacerle ? te leemos en vivo.",No,,,
UCFZjTV0t9dCk2ojUeXOOatA,voxxtv,04-2026,0Er3J1SkEx0,https://www.youtube.com/watch?v=0Er3J1SkEx0,MODO BARDO || Reaccionamos a los videos virales de la semana || MODO NEWS || Politica y actualidad.,2026-03-05T11:59:29Z,4281.0,122,11,2,sumate al chat que queremos saber que opinas vos !! DALE !! tamos ahi ..,No,,,
UCFZjTV0t9dCk2ojUeXOOatA,voxxtv,04-2026,AadP0JNRsEI,https://www.youtube.com/watch?v=AadP0JNRsEI,Valeria Quiroga Medium,2026-03-07T13:36:55Z,1979.0,173,17,6,Seción de mediumnidad en vivo || Sumate al chat || 2604042407 Envianos al Whatsapp foto y nombre completo de tu ser querido || ¡¡Suscribite!!,No,,,
UCFZjTV0t9dCk2ojUeXOOatA,voxxtv,04-2026,LjtEkGUf58Q,https://www.youtube.com/watch?v=LjtEkGUf58Q,¿ Como piensan los Hombres ?,2026-03-20T10:40:37Z,1922.0,210,4,0,,No,,,
UCFZjTV0t9dCk2ojUeXOOatA,voxxtv,04-2026,6NWVHrfS5-Y,https://www.youtube.com/watch?v=6NWVHrfS5-Y,Valeria Quiroga| Sesión de Mediumnidad en vivo,2026-03-28T15:50:17Z,5389.0,159,18,0,envianos tu foto al: 2604042407,No,,,
UCFZjTV0t9dCk2ojUeXOOatA,voxxtv,04-2026,UPg8aoDDwyI,https://www.youtube.com/watch?v=UPg8aoDDwyI,ROBERTO CASTILLO LORE,2026-03-26T14:43:17Z,3878.0,402,17,1,"Hola BARDOS ! Hoy hablamos del Lore entre ROBERTO CASTILLO, CINTHIA FERNÁNDEZ y SU EX. ¿Qué pasa con los reality que reclutan personas con problemas psiquiátricos?",No,,,
UCFZjTV0t9dCk2ojUeXOOatA,voxxtv,04-2026,4v2RNGQxo7Y,https://www.youtube.com/watch?v=4v2RNGQxo7Y,Educando CAPITULO || 01/99,2026-03-13T11:25:11Z,1495.0,44,2,0,,No,,,
UCFZjTV0t9dCk2ojUeXOOatA,voxxtv,04-2026,GL9fGYMYTrI,https://www.youtube.com/watch?v=GL9fGYMYTrI,MODO BARDO || MÁS PÍCATE QUE NUNCA || SUSCRIBITE,2026-03-10T15:07:31Z,3921.0,167,5,2,"hablamos de la reina de la vendimia, TODO LO MAS RELEVANTE DE LA SEMANA EN REDES.",No,,,
UCFZjTV0t9dCk2ojUeXOOatA,voxxtv,04-2026,6XLoWWm1xLE,https://www.youtube.com/watch?v=6XLoWWm1xLE,Valeria Quiroga y el Tarot de los signos | Hoy sorteo!,2026-03-18T10:12:16Z,5908.0,177,20,2,,No,,,
