channel_id,channel_url,provincia,tipo
UCCKMZAvEMR7IzVKBxyLb9Lg,https://youtube.com/@floydtvonline?si=jUPNtgg266-y5k8q,Mendoza,nativo
UC7WpCrWnAh5DoHtMxbrtMnQ,https://youtube.com/@chocotvok?si=2YVCEG5eRz7k7bcY,Mendoza,nativo
UC2Spl5nhZtU_c8w7amfOKqw,https://youtube.com/@gorememedia?si=rYKLiklxHH9n6dee,Mendoza,nativo
UCxtCp4e1pGevREzI4aCMjow,https://youtube.com/@elbunkermza?si=DYKceoHFUHXZNPzW,Mendoza,nativo
UCKmXYozYivG-QniM45u0THA,https://youtube.com/@malbecplay?si=CJp81B2RIvVn99L8,Mendoza,nativo
UCxy1_VhGyaCbto2-DcXqk_w,https://youtube.com/@serebrosstv?si=XcpEMWAXDYY1bK0E,Mendoza,nativo
UCC6Y5cYmv1Q_4-J6jOSOK_Q,https://youtube.com/@agenciaaluza?si=tqe-doEcJA4LnwLn,Mendoza,nativo
UCRw1y2JAiHN3mcjjCtrBBng,https://youtube.com/@canalbardo?si=IANKmAlZraytP1gI,Mendoza,nativo
UCBSWjvvdoYMkgdybO11TafA,https://youtube.com/@gordivinos?si=ZjBDS7cJsTDiYNYh,Mendoza,nativo
UC9kKAxookRd_sLlkmc1ROtA,https://youtube.com/@desdeelfondo?si=4XZvZVeu-Wr1Fab0,Mendoza,nativo
UCc8mzxrfokRgbCxQkoTFV-w,https://youtube.com/@cascotetv?si=6BIclzcR-wDcxADN,Mendoza,nativo
UCrKnuUxDxdkFZo-7zM4ZDQQ,https://youtube.com/@radioalertamza?si=k9xUrWYPFHEdFv-m,Mendoza,nativo
UC1gMJbPatMRNcWKQGfmw8MQ,https://youtube.com/@oidmortalesmza?si=XeujmJKrR_AFYcHm,Mendoza,nativo
UCghFRyDA1663a6CPtjwXw9g,https://youtube.com/@sifonazostream?si=BJ5yAWV1ixXxL354,Mendoza,nativo
UCqUML6z7sAr1wDoFVvskSvw,https://youtube.com/@lapaginabodeguera?si=f5YiFvWJalTb1DPe,Mendoza,nativo
UCFZjTV0t9dCk2ojUeXOOatA,https://youtube.com/@voxxtvstream?si=U1k3qO4c_nOnJfgR,Mendoza,nativo
UCNXXN7gU25c-hJhiFncsXEg,https://youtube.com/@pasapelotastreaming?si=GHFPGHзMc4Jat7Va,Mendoza,nativo
UCs50X9UPkyNG8iruRYgQ7uw,https://youtube.com/@canalmalbec?si=Gk672AhaF_sJHyjM,Mendoza,nativo
UCzpoS2E11PdYlPXaAyVjGEw,https://youtube.com/@bardo.fierros?si=8L-NBwOabxzHKVic,Mendoza,nativo
UClt7bSPOFVM0ZzueWWZ7lTQ,https://youtube.com/@estetv-santarosa?si=F2deGfxBM6gab5Pg,Mendoza,nativo
UCGSMykhyMD_z4g1lxINGz4w,https://youtube.com/@lemacontenidos?si=ITEgOwqaM0kKQxp9,Mendoza,nativo
UC8lcBoeLuD5-GD0y31nglsw,https://youtube.com/@manilaradiostream?si=VlrnW4oQi23xOw3z,Mendoza,nativo
UCdy_YChYWXcKupwj3Z5pM1Q,https://www.youtube.com/channel/UCdy_YChYWXcKupwj3Z5pM1Q,Mendoza,tradicional
UC64ZNqX0FQHabP8iIkmnR3A,https://www.youtube.com/channel/UC64ZNqX0FQHabP8iIkmnR3A,Mendoza,tradicional
UC3clpW9cnU1wA-RUM-eoFTw,https://www.youtube.com/channel/UC3clpW9cnU1wA-RUM-eoFTw,Mendoza,tradicional
UCHIfuRg5isAgn_TgOBjM2VQ,https://www.youtube.com/channel/UCHIfuRg5isAgn_TgOBjM2VQ,Mendoza,tradicional
UCQAipKT9ZTsqlN0PGoWVMqA,https://www.youtube.com/channel/UCQAipKT9ZTsqlN0PGoWVMqA,Mendoza,tradicional
UCqRS6ieQfBmNRAmv0MFu5qA,https://www.youtube.com/channel/UCqRS6ieQfBmNRAmv0MFu5qA,Mendoza,tradicional
UCX5l1nMjgKOYv1ikzbUgBSw,https://youtube.com/@peladostream?si=Z1n8qfAlxY3peli9,San Juan,nativo
UCb5-VAX-_Mo6f9PbViJT-qA,https://youtube.com/@tiempostreaming?si=mEzndTcELS4I_9av,San Juan,tradicional
UCfpWLXfGXnGSH6b3KMdnHSQ,https://youtube.com/@radiosantalucia99.7sanjuan3?si=ACMDLtCPds3kdmYQ,San Juan,tradicional
UC7LkxIkfazQTRGAjdSFM0SA,https://youtube.com/@estacionclaridad7500?si=_nGd93GNoFU_wEFR,San Juan,tradicional
UC_TW6BN6N4XUeeRVa-_MNJA,https://youtube.com/@gsmediasj?si=_ZnVSCl5i7xEwfRa,San Juan,nativo
UCPf-UzZ6D5qS5539M-79Vbg,https://youtube.com/@comoenvivo?si=VP4IxYBl_3zU6iwa,San Juan,nativo
UCEyWRO2z22kOVW3z3OofCuw,https://youtube.com/@damenoticias7546?si=71w_MTNws06Og0BQ,San Juan,nativo
UCnCeWT6xLI0wvtusgaO6-kA,https://youtube.com/@lv1radiocolonok?si=fW0Zi79H0dQNoZVO,San Juan,tradicional
UCRXC5IHzBj4GklQC17b6-cA,https://youtube.com/@radiou931?si=B-pRBUpsN3fiP12i,San Juan,tradicional
UCciL4wx-d_QDME24DClZPlw,https://youtube.com/@huarpetv?si=X2bv2EBZ4MmCH9yY,San Juan,tradicional
UCjdsjCBWBIDA-ah40YSRfQg,https://youtube.com/@paltaenvivo?si=yLs0gclr5OZYEwkL,San Juan,nativo

UC0saXGdzZw4z0NmgH3v8-7g,https://www.youtube.com/channel/UC0saXGdzZw4z0NmgH3v8-7g,Mendoza,tradicional
UCvq7tYoH4qpl721_vb9Ckzw,https://www.youtube.com/channel/UCvq7tYoH4qpl721_vb9Ckzw,Mendoza,tradicional
UCdhAofhFNDrFicCmcaIEftQ,https://www.youtube.com/channel/UCdhAofhFNDrFicCmcaIEftQ,Mendoza,tradicional
UCA_4ak2pN7yNzrvBzQcRv4Q,https://www.youtube.com/channel/UCA_4ak2pN7yNzrvBzQcRv4Q,Mendoza,tradicional
